firm_id,survey_date,location,firm_age_years,firm_size_category,num_employees,total_assets_million_ngn,subsector,ownership_type,has_fdi,years_fdi_involvement,knowledge_absorption,task_performance,innovation_capability,skilled_labor_ratio_pct,iot_automation_use,rd_expenditure_pct_revenue,liquidity_ratio,tax_incentives_effectiveness,regulatory_stability,infrastructure_support,corruption_experience,policy_effectiveness_index,roi_percent,roa_percent,export_intensity_pct,market_share_pct,operational_efficiency
FIRM_0209,2024-03-17 15:36:52.048192771,Isolo,8,Small,28,73.29,Bakery & Confectionery,Joint Venture,1,6,3.41,3.71,3.44,51.4,2.51,5.29,1.53,3.73,1.99,2.15,5.71,2.59,16.99,18.43,29.87,7.44,4.01
FIRM_0210,2024-03-17 22:50:36.144578313,Ikorodu,8,Medium,91,143.27,Fruit & Vegetable Processing,Joint Venture,1,2,4.35,3.83,3.06,35.4,2.86,4.79,0.45,3.2,4.44,2.04,4.09,3.39,22.28,8.19,33.13,1.74,4.33
FIRM_0211,2024-03-18 06:04:20.240963855,Alimosho,8,Medium,218,415.73,Meat Processing,Fully Local,0,0,2.92,3.23,2.42,16.4,1.5,0.0,2.0,3.67,3.68,2.75,2.78,3.68,8.57,14.12,17.29,5.51,4.72
FIRM_0212,2024-03-18 13:18:04.337349397,Ikeja Industrial Estate,3,Medium,150,160.39,Oil & Fats,Foreign-Owned,1,3,3.47,3.59,3.43,38.8,2.97,6.84,1.2,2.3,2.18,1.0,5.35,1.99,22.08,10.5,30.8,0.5,4.13
FIRM_0213,2024-03-18 20:31:48.433734940,Ilupeju,8,Large,767,1129.12,Meat Processing,Fully Local,0,0,3.03,3.22,2.71,33.2,3.36,0.99,1.65,4.61,4.87,1.56,4.18,3.81,22.52,17.74,22.63,19.63,3.82
FIRM_0214,2024-03-19 03:45:32.530120482,Apapa,3,Small,35,78.95,Bakery & Confectionery,Foreign-Owned,1,3,3.72,3.6,3.85,26.3,3.22,4.24,1.51,4.95,3.99,5.89,2.88,4.92,23.1,17.47,36.66,12.99,3.91
FIRM_0215,2024-03-19 10:59:16.626506024,Isolo,8,Small,43,35.66,Beverages,Foreign-Owned,1,2,3.47,3.86,3.7,38.2,3.57,4.39,2.1,1.0,3.24,1.31,6.21,1.87,17.12,11.54,25.43,15.94,3.43
FIRM_0216,2024-03-19 18:13:00.722891566,Agbara,8,Large,692,698.08,Beverages,Foreign-Owned,1,2,3.87,3.68,3.99,50.4,3.96,5.08,1.89,2.49,1.0,2.82,4.1,2.34,21.5,17.01,34.56,22.58,3.63
FIRM_0217,2024-03-20 01:26:44.819277108,Apapa,8,Small,15,18.47,Bakery & Confectionery,Fully Local,0,0,2.67,3.3,2.02,28.3,1.0,0.05,1.2,6.26,4.73,6.46,1.14,5.94,27.12,15.84,20.26,3.01,4.3
FIRM_0218,2024-03-20 08:40:28.915662650,Isolo,29,Large,990,1485.78,Bakery & Confectionery,Fully Local,1,15,4.52,3.94,4.37,66.3,5.0,5.15,1.67,2.59,1.86,1.48,4.58,2.22,14.64,18.39,42.95,22.47,4.24
FIRM_0219,2024-03-20 15:54:13.012048193,Oshodi,8,Small,42,48.99,Dairy Products,Fully Local,0,0,2.43,3.15,2.95,27.8,1.89,1.0,1.62,4.08,3.56,3.77,5.1,3.67,19.84,9.27,17.56,0.5,3.02
FIRM_0220,2024-03-20 23:07:57.108433735,Ikeja Industrial Estate,8,Large,686,1415.25,Beverages,Fully Local,1,4,3.9,4.13,3.94,41.3,4.55,3.91,0.98,5.29,3.26,5.88,4.04,4.63,20.4,16.69,44.0,14.31,4.25
FIRM_0221,2024-03-21 06:21:41.204819277,Agbara,3,Small,31,42.28,Beverages,Fully Local,0,0,3.13,2.39,2.85,16.9,1.42,2.33,1.5,4.3,3.97,5.06,5.61,4.1,16.54,12.23,16.71,2.51,4.14
FIRM_0222,2024-03-21 13:35:25.301204819,Isolo,8,Large,526,1491.14,Fruit & Vegetable Processing,Family Business,0,0,2.95,3.22,2.89,17.8,2.9,1.04,0.96,4.3,5.07,3.99,3.52,4.48,17.34,13.46,23.45,15.51,4.07
FIRM_0223,2024-03-21 20:49:09.397590361,Alimosho,3,Medium,247,423.36,Oil & Fats,Joint Venture,1,3,3.9,3.65,3.59,57.0,4.22,3.42,2.08,1.8,2.93,2.7,4.43,2.63,18.5,17.5,32.38,6.94,4.26
FIRM_0224,2024-03-22 04:02:53.493975903,Apapa,3,Large,831,1115.26,Oil & Fats,Fully Local,0,0,2.78,3.44,2.96,30.1,3.69,2.14,1.46,3.34,3.06,3.03,3.52,3.35,18.01,7.41,24.16,21.16,3.99
FIRM_0225,2024-03-22 11:16:37.590361446,Ikeja Industrial Estate,29,Small,13,32.53,Fruit & Vegetable Processing,Fully Local,0,0,3.07,2.75,2.74,34.2,1.74,3.73,1.79,4.84,3.69,3.47,4.24,3.99,13.16,14.12,15.53,13.42,4.62
FIRM_0226,2024-03-22 18:30:21.686746988,Ilupeju,8,Medium,143,173.8,Grain Milling,Fully Local,1,3,3.44,3.82,3.34,31.6,2.85,7.33,1.65,2.55,2.26,1.2,6.37,1.99,21.54,12.2,29.4,11.63,3.77
FIRM_0227,2024-03-23 01:44:05.783132530,Ikeja Industrial Estate,29,Large,695,2666.51,Bakery & Confectionery,Joint Venture,1,13,3.92,4.27,3.83,87.6,4.63,4.19,1.26,3.85,5.23,1.87,5.38,3.59,16.56,15.47,44.57,32.81,4.19
FIRM_0228,2024-03-23 08:57:49.879518072,Other,8,Medium,111,119.37,Dairy Products,Joint Venture,1,8,4.04,3.46,3.07,29.9,4.06,2.8,1.27,4.19,4.32,1.86,4.78,3.5,21.92,12.58,30.59,5.11,3.52
FIRM_0229,2024-03-23 16:11:33.975903614,Ikeja Industrial Estate,8,Medium,143,268.57,Bakery & Confectionery,Family Business,0,0,2.99,3.29,3.02,21.6,1.84,1.12,1.59,3.0,3.55,3.33,5.73,3.14,15.13,11.54,20.15,12.82,3.74
FIRM_0230,2024-03-23 23:25:18.072289156,Agbara,8,Medium,144,246.48,Dairy Products,Joint Venture,1,8,4.03,3.75,3.97,45.1,3.14,3.85,1.69,4.05,1.17,1.0,4.2,2.39,14.64,3.75,28.77,12.34,2.65
FIRM_0231,2024-03-24 06:39:02.168674699,Ilupeju,8,Medium,201,323.01,Fruit & Vegetable Processing,Family Business,0,0,2.08,3.03,2.45,32.5,1.79,3.42,1.8,7.0,4.83,5.34,1.55,5.85,19.97,12.02,15.65,8.77,3.99
FIRM_0232,2024-03-24 13:52:46.265060241,Apapa,8,Medium,104,189.42,Other Food Products,Foreign-Owned,1,4,4.24,3.49,3.3,50.1,3.72,3.17,1.77,4.59,4.09,3.48,2.01,4.37,16.31,14.33,52.32,15.67,4.2
FIRM_0233,2024-03-24 21:06:30.361445783,Ikeja Industrial Estate,3,Medium,186,228.19,Dairy Products,Fully Local,0,0,2.21,3.11,1.6,41.6,3.15,0.0,0.88,4.53,4.48,3.87,3.25,4.38,16.61,13.68,27.64,12.56,3.03
FIRM_0234,2024-03-25 04:20:14.457831325,Isolo,8,Large,492,1328.3,Dairy Products,Family Business,0,0,3.02,2.81,3.33,34.5,3.02,1.17,1.07,1.02,3.66,3.99,3.9,3.01,11.34,10.25,16.59,11.21,3.21
FIRM_0235,2024-03-25 11:33:58.554216867,Isolo,3,Small,40,60.74,Fruit & Vegetable Processing,Fully Local,0,0,2.45,2.59,2.34,11.5,1.69,0.0,1.28,1.0,2.48,1.67,7.0,1.61,13.86,8.13,10.92,5.48,3.47
FIRM_0236,2024-03-25 18:47:42.650602409,Apapa,3,Small,49,36.61,Other Food Products,Foreign-Owned,1,3,3.58,3.74,3.42,34.6,2.88,5.37,0.62,5.0,5.98,5.83,1.0,5.8,19.63,22.09,38.6,10.17,4.58
FIRM_0237,2024-03-26 02:01:26.746987952,Alimosho,8,Large,478,1262.79,Bakery & Confectionery,Fully Local,0,0,2.88,2.96,2.53,32.4,1.29,0.36,2.05,4.06,3.65,4.31,4.13,3.97,14.96,15.35,20.01,13.73,3.76
FIRM_0238,2024-03-26 09:15:10.843373494,Apapa,3,Large,797,1345.6,Fruit & Vegetable Processing,Foreign-Owned,1,3,4.0,3.7,3.51,65.3,5.0,3.39,1.87,2.78,2.97,3.08,5.79,2.83,22.36,18.71,43.77,23.2,4.24
FIRM_0239,2024-03-26 16:28:54.939759036,Ilupeju,29,Medium,201,954.83,Dairy Products,Foreign-Owned,1,13,3.72,4.07,4.0,39.3,3.68,4.16,2.36,3.15,3.58,5.45,1.0,4.43,20.6,16.37,51.29,21.0,4.46
FIRM_0240,2024-03-26 23:42:39.036144578,Isolo,29,Medium,55,207.04,Dairy Products,Foreign-Owned,1,7,3.49,3.77,3.4,63.9,3.52,4.05,1.21,5.12,3.99,4.44,5.36,4.24,21.87,18.25,37.24,25.76,4.87
FIRM_0241,2024-03-27 06:56:23.132530120,Ikeja Industrial Estate,29,Small,11,32.31,Other Food Products,Foreign-Owned,1,9,3.72,3.7,4.12,53.2,2.73,4.08,2.33,4.48,1.57,3.04,3.66,3.22,15.0,15.17,31.83,8.96,4.15
FIRM_0242,2024-03-27 14:10:07.228915662,Alimosho,8,Small,29,22.01,Other Food Products,Fully Local,1,8,3.67,3.75,3.73,48.2,2.66,4.79,2.49,6.06,4.4,3.73,1.0,5.12,26.52,17.47,40.36,9.65,3.76
FIRM_0243,2024-03-27 21:23:51.325301205,Apapa,3,Medium,124,143.18,Dairy Products,Fully Local,0,0,2.75,2.99,1.68,21.9,1.58,0.0,0.73,3.4,5.57,4.37,2.91,4.55,22.48,12.48,13.97,3.0,4.43
FIRM_0244,2024-03-28 04:37:35.421686747,Ikeja Industrial Estate,29,Small,13,35.23,Other Food Products,Fully Local,0,0,2.92,3.58,2.69,28.0,2.58,1.51,1.84,2.58,1.56,3.17,5.34,2.44,27.15,10.08,22.77,17.96,3.71
FIRM_0245,2024-03-28 11:51:19.518072289,Ilupeju,8,Medium,128,287.01,Beverages,Fully Local,0,0,3.15,2.85,1.99,33.3,1.69,2.96,1.32,1.81,2.61,3.99,4.7,2.82,15.28,15.47,20.97,1.42,3.15
FIRM_0246,2024-03-28 19:05:03.614457831,Isolo,29,Small,15,33.13,Grain Milling,Joint Venture,1,3,4.04,3.91,4.08,58.0,4.42,7.45,1.21,6.05,5.41,5.61,4.14,5.42,29.99,19.83,42.16,18.69,4.15
FIRM_0247,2024-03-29 02:18:47.710843373,Ilupeju,29,Large,367,755.6,Fruit & Vegetable Processing,Fully Local,0,0,3.01,2.74,2.77,49.7,3.04,4.11,1.8,1.53,1.07,1.0,7.0,1.18,7.51,12.76,12.99,16.72,3.52
FIRM_0248,2024-03-29 09:32:31.807228915,Oshodi,29,Large,855,3438.65,Fruit & Vegetable Processing,Family Business,0,0,3.73,3.75,3.27,44.7,3.14,0.75,2.03,2.92,2.23,4.4,4.57,3.16,25.43,18.93,23.61,24.96,3.86
FIRM_0249,2024-03-29 16:46:15.903614458,Ikeja Industrial Estate,3,Medium,228,545.76,Fruit & Vegetable Processing,Joint Venture,1,3,3.53,3.61,3.16,33.0,3.19,2.9,1.34,1.52,3.18,1.0,6.3,1.91,19.67,15.48,25.47,3.9,4.35
FIRM_0250,2024-03-30 00:00:00.000000000,Apapa,8,Medium,111,234.84,Beverages,Foreign-Owned,1,8,3.21,3.29,3.96,25.0,2.68,4.19,2.08,2.97,4.48,3.83,4.44,3.73,17.99,10.7,39.47,8.8,3.83
