material,dislocation_type,slip_system,temperature_K,applied_stress_MPa,peierls_stress_MPa,dislocation_velocity_m_s,mobility_coefficient,stress_exponent,burgers_vector_A,dislocation_density_m2,line_tension_eV_A,core_energy_eV_A,interaction_energy_eV,simulation_time_ps,num_atoms
Cu,prismatic,<110>{001},371.78,963.88,29.56,274.79795398,6.2651e-06,1.994,3.246,1617662364329.6,1.238,2.315,-0.0051,80.74,500000
Steel-316,basal,<110>{001},831.95,847.26,52.22,0.03133436,1.38683e-05,2.026,2.701,267601764186213.75,3.866,2.366,0.3603,366.43,50000
Ni,basal,<110>{001},1102.08,388.18,30.61,0.1861195,0.0005418146,1.778,3.294,2854421949893.04,2.97,0.748,-0.1391,474.73,500000
Cr,prismatic,<111>{110},1194.09,569.68,33.04,0.59215629,0.0001068218,2.841,3.211,405866092596720.6,2.69,2.894,0.315,137.89,500000
Cr,basal,<111>{110},700.46,441.83,115.72,0.01168622,7.26979e-05,2.486,3.058,31671413922674.32,4.218,0.934,-0.316,415.59,1000000
Steel-316,mixed,<111>{110},677.2,335.32,131.18,57.93146244,0.0009716726,1.249,2.981,286506772669200.44,2.443,1.536,-0.076,261.19,1000000
Ni,mixed,<100>{001},1259.63,42.25,28.66,0.00974416,0.0008652385,2.092,3.229,1682876158106.26,1.743,2.993,-0.016,320.9,50000
Al,edge,<100>{001},1255.25,355.22,29.76,0.01312588,0.000599797,1.051,2.873,974236690692037.5,4.281,2.838,0.0257,197.56,500000
Steel-316,edge,<111>{110},829.77,348.03,91.99,0.35655279,1.2069e-06,2.122,2.749,594234630170885.4,3.214,2.733,-0.062,354.73,1000000
Inconel-718,prismatic,<110>{001},1494.79,604.96,0.56,193.73451946,3.0584e-06,1.693,3.15,430349896109784.06,4.862,2.144,-0.2371,337.66,1000000
Cu,prismatic,<110>{111},930.18,442.57,46.88,451.1987651,9.0331e-06,1.774,2.958,25129826925644.38,4.617,1.399,0.4814,191.11,50000
Cr,prismatic,<111>{110},779.61,374.36,79.94,0.17954586,6.51886e-05,2.017,2.787,175076966844273.62,4.422,2.749,0.468,331.38,1000000
Cr,mixed,<100>{001},1405.25,114.84,8.34,0.00035599,9.6575e-06,1.654,3.134,1666474530478.77,2.955,1.781,0.2985,429.39,100000
Ni,prismatic,<110>{001},567.12,754.54,71.8,6.83310704,9.4302e-06,1.306,3.251,981429490047405.2,4.664,2.809,-0.3426,427.24,100000
Inconel-718,prismatic,<110>{001},730.64,797.3,15.31,735.41404478,0.0008197246,2.199,3.249,481075426423926.7,2.25,2.134,0.4216,386.99,1000000
Cu,edge,<110>{111},1001.21,570.63,79.87,27.49714484,1.1432e-06,2.533,3.051,1106763744645.94,4.859,1.408,0.3314,138.62,500000
Ni,mixed,<110>{111},464.09,198.99,107.36,0.48904332,0.0005477851,1.327,2.858,1624099495865.22,1.793,2.697,0.1543,156.2,50000
Ti,edge,<110>{001},717.67,890.51,49.96,0.22477238,2.2299e-05,2.535,2.505,2948074735977.03,3.451,0.535,-0.3258,499.72,500000
Steel-316,basal,<110>{001},1025.83,659.5,15.81,0.04586353,0.0001964764,2.498,2.864,447068458841259.44,1.848,2.091,0.0752,91.6,50000
Inconel-718,mixed,<110>{001},1339.34,943.24,4.73,11375.66303869,1.88797e-05,2.93,3.266,4369294459419.89,4.081,1.004,0.3386,449.44,50000
Al,edge,<110>{111},975.74,132.36,44.07,0.00336561,0.0001039132,1.999,3.1,9178339154497.86,3.429,1.678,0.2284,176.86,100000
Cr,mixed,<110>{111},967.69,700.22,63.0,63.0614874,0.0001748629,2.368,2.885,5070664451713.15,2.168,1.646,0.4635,401.09,1000000
Cu,screw,<100>{001},1092.42,64.01,7.93,0.00157562,4.30389e-05,2.01,3.14,728204268761792.2,4.995,1.376,-0.2659,488.38,1000000
Fe,prismatic,<110>{001},1490.73,168.84,0.29,1.55037618,1.4767e-06,2.948,3.098,1016508983389.53,4.056,2.408,0.4669,476.65,1000000
Cu,edge,<110>{111},332.01,540.65,50.03,178.93302374,1.7261e-06,1.185,2.737,1344585374434.37,1.953,2.192,0.4431,411.19,50000
Steel-316,screw,<110>{111},494.3,371.86,128.77,7.86716024,6.55305e-05,2.358,2.858,1476241241219.34,2.11,0.806,0.0454,457.29,1000000
Cu,prismatic,<110>{001},1497.17,24.1,0.05,0.00013496,0.0006891106,2.715,2.652,21223838895516.11,1.113,2.93,0.3251,234.36,100000
Inconel-718,basal,<111>{110},1332.0,602.97,5.79,106.79031978,2.78444e-05,1.821,3.409,3052798011223.22,4.806,2.306,0.3001,395.19,50000
Ti,prismatic,<111>{110},1385.85,927.65,18.43,0.03607917,4.3888e-05,2.281,2.737,951758390945368.2,4.516,0.71,0.272,140.35,100000
Inconel-718,prismatic,<110>{001},1324.75,410.08,24.7,33.00502421,1.3697e-05,2.113,3.042,37565056040648.28,4.459,1.51,-0.0918,224.62,100000
Inconel-718,mixed,<110>{001},935.43,114.93,56.0,0.03043926,2.7854e-06,1.564,3.208,4412118048273.72,4.495,2.463,0.4134,335.86,100000
Steel-316,mixed,<110>{001},1346.86,598.99,22.56,9959.86786888,7.35754e-05,1.735,2.515,237753145632896.16,2.299,0.836,0.4578,134.34,1000000
Steel-316,edge,<100>{001},673.93,162.32,69.6,0.00099389,1.34612e-05,2.644,3.405,158917539586687.44,2.186,1.272,0.0894,495.41,1000000
Ni,screw,<110>{001},1229.33,851.04,35.89,2.7591224,3.0472e-06,1.149,3.327,44527812410502.45,2.576,2.103,0.389,171.33,100000
Ni,mixed,<110>{111},1448.74,85.15,4.96,0.68567001,3.4728e-06,2.778,2.993,77442761132488.3,4.295,2.923,0.1949,250.51,100000
Inconel-718,mixed,<111>{110},1006.67,406.98,43.62,7361.82947766,2.8177e-06,1.813,3.216,768753279945252.4,4.662,1.51,-0.267,149.46,1000000
Cr,basal,<110>{111},785.92,688.49,82.2,0.53625005,1.8763e-06,1.399,3.14,118400904623667.45,2.226,2.426,0.2778,451.83,500000
Cu,mixed,<100>{001},321.97,591.3,140.14,34.64567681,0.0002716885,2.893,2.811,1624677962369.18,3.34,2.702,-0.327,281.79,100000
Ni,basal,<110>{001},1144.28,213.91,56.39,18.87774578,0.0002235296,2.303,3.143,30376384791355.07,1.657,1.376,-0.4255,360.77,500000
Cr,edge,<100>{001},594.06,924.9,82.6,87.56022725,0.0004348206,1.745,3.175,78478255540188.88,4.83,1.708,0.0064,314.28,500000
Inconel-718,prismatic,<110>{111},1308.76,999.16,7.21,641.78076877,2.64335e-05,2.011,3.309,119423361256506.19,3.117,0.557,-0.4794,177.58,500000
Cu,mixed,<110>{111},1287.15,199.1,35.05,0.00217294,1.4366e-06,2.673,3.356,754795167058620.2,4.238,2.54,-0.439,397.89,1000000
