Tunnel_ID,Soil_Type,Tunnel_Depth_m,Tunnel_Diameter_m,H_D_Ratio,Lining_Thickness_m,Undrained_Shear_Strength_kPa,Friction_Angle_deg,K0,Groundwater_Level_m,Volume_Loss_pct,Surface_Settlement_mm,Lateral_Displacement_mm,Pore_Water_Pressure_kPa,Crown_Convergence_mm,Risk_Score,Failure_Label
TUN-0378,Clay,20.6,9.07,2.28,0.396,176.6,19.3,1.984,11.0,0.658,192.13,54.86,103.7,0.0,0.4205,0
TUN-0379,Clay,17.4,5.13,3.38,0.246,62.2,26.4,1.801,7.7,0.834,96.04,41.88,79.6,0.0,0.4952,0
TUN-0380,Mixed_Clay_Sand,13.8,6.01,2.3,0.159,37.9,23.1,0.725,5.3,0.6,116.94,47.79,49.7,0.33,0.489,0
TUN-0381,Clay,13.6,10.76,1.26,0.442,45.3,25.1,0.985,4.5,1.344,859.07,379.71,38.7,1.22,0.5306,0
TUN-0382,Sand,17.6,7.74,2.27,0.289,0.3,37.5,0.591,5.5,8.0,2042.51,1135.95,52.7,0.45,0.7735,1
TUN-0383,Sand,30.0,9.76,3.08,0.506,6.9,34.7,0.545,4.0,7.936,1886.84,1068.19,38.9,0.0,0.8431,1
TUN-0384,Clay,18.5,4.13,4.49,0.112,114.5,18.2,1.52,8.5,0.933,64.98,31.4,95.1,0.51,0.4633,0
TUN-0385,Mixed_Clay_Sand,18.0,6.23,2.89,0.342,12.3,29.0,0.647,6.9,3.041,494.17,287.0,63.9,0.0,0.6598,1
TUN-0386,Mixed_Clay_Sand,20.2,6.31,3.2,0.171,65.7,28.5,1.175,12.1,1.572,235.98,89.99,113.6,0.76,0.5587,1
TUN-0387,Mixed_Clay_Sand,30.7,8.17,3.75,0.288,10.7,26.0,1.193,17.3,5.489,899.07,402.83,177.4,0.26,0.8432,1
TUN-0388,Sand,31.1,6.54,4.76,0.351,6.7,38.8,0.359,5.4,8.0,826.5,454.0,48.5,0.53,0.8513,1
TUN-0389,Mixed_Clay_Sand,12.5,11.78,1.06,0.466,75.6,27.6,0.727,4.8,0.75,624.45,292.08,54.4,0.66,0.4551,0
TUN-0390,Clay,17.9,4.12,4.33,0.178,87.4,18.6,1.82,8.7,0.89,58.28,23.05,83.7,1.02,0.4915,0
TUN-0391,Clay,20.7,11.18,1.85,0.402,55.6,19.0,1.831,8.7,0.959,428.3,96.28,72.5,1.58,0.5542,1
TUN-0392,Sand,20.7,10.31,2.0,0.517,1.6,33.6,0.386,3.4,8.0,3086.84,1359.38,52.0,0.0,0.7863,1
TUN-0393,Sand,23.2,3.87,6.0,0.206,2.7,37.2,0.599,7.8,8.0,385.88,86.5,70.2,0.05,0.8027,1
TUN-0394,Clay,26.4,5.78,4.57,0.255,89.8,21.3,1.387,12.1,1.379,130.8,35.2,114.3,0.21,0.5585,1
TUN-0395,Clay,15.8,4.98,3.17,0.159,113.0,26.6,1.245,7.3,1.163,135.93,59.84,52.8,0.38,0.456,0
TUN-0396,Sand,20.3,8.17,2.49,0.38,3.0,28.9,0.364,10.7,8.0,1974.84,1128.66,113.0,0.85,0.7951,1
TUN-0397,Sand,12.8,11.62,1.1,0.484,1.8,30.9,0.554,2.9,8.0,6345.58,3343.74,22.8,0.96,0.7477,1
TUN-0398,Mixed_Clay_Sand,30.7,8.3,3.7,0.398,28.3,23.3,0.873,6.3,2.485,415.92,101.22,61.1,0.81,0.7081,1
TUN-0399,Sand,17.1,6.72,2.55,0.216,3.5,36.2,0.397,4.0,8.0,1576.16,831.89,37.7,0.27,0.7649,1
TUN-0400,Sand,34.3,10.45,3.28,0.299,2.2,29.2,0.519,8.9,8.0,1912.49,1022.06,89.1,0.63,0.8573,1
TUN-0401,Mixed_Clay_Sand,16.4,10.4,1.58,0.27,73.8,28.3,0.619,7.7,0.714,351.61,95.37,85.1,1.23,0.4899,0
TUN-0402,Clay,6.2,3.51,1.78,0.102,26.1,22.3,1.637,4.1,1.042,151.19,74.74,49.5,0.75,0.4789,0
TUN-0403,Sand,10.4,8.71,1.19,0.227,7.7,37.8,0.539,4.6,2.959,1618.63,745.49,35.7,0.76,0.621,1
TUN-0404,Mixed_Clay_Sand,13.2,4.8,2.76,0.265,10.4,25.3,0.785,7.1,2.503,325.73,155.77,74.6,0.17,0.6056,1
TUN-0405,Mixed_Clay_Sand,14.6,3.95,3.7,0.161,40.8,25.0,1.134,7.3,0.825,64.51,25.76,64.0,0.99,0.5127,0
TUN-0406,Clay,13.6,8.95,1.52,0.497,128.8,20.7,1.409,8.5,1.033,456.01,177.23,72.2,0.81,0.4257,0
TUN-0407,Sand,34.1,6.85,4.98,0.283,1.3,35.7,0.359,6.0,8.0,826.57,352.88,47.7,0.74,0.8599,1
TUN-0408,Sand,9.8,9.68,1.02,0.195,3.4,30.6,0.543,4.3,5.402,3857.52,1803.49,46.8,0.2,0.7152,1
TUN-0409,Sand,11.4,5.38,2.11,0.125,3.9,28.5,0.561,1.3,5.088,973.15,551.56,7.1,0.58,0.7306,1
TUN-0410,Clay,20.9,7.03,2.97,0.306,167.6,20.7,1.567,10.7,0.3,57.2,33.21,96.8,0.66,0.4139,0
TUN-0411,Sand,17.7,10.08,1.76,0.29,4.7,35.1,0.512,3.4,6.997,3013.39,819.82,48.3,1.57,0.7871,1
TUN-0412,Mixed_Clay_Sand,8.7,3.08,2.81,0.082,79.2,32.0,0.93,2.3,0.554,48.71,27.2,16.3,0.17,0.4023,0
TUN-0413,Mixed_Clay_Sand,24.5,10.3,2.38,0.58,45.5,25.1,0.986,11.8,1.25,406.0,212.93,131.3,0.56,0.5887,1
TUN-0414,Sand,22.6,7.24,3.12,0.427,5.2,39.8,0.476,8.5,7.961,1388.24,526.62,92.6,0.0,0.7956,1
TUN-0415,Sand,11.3,6.75,1.68,0.371,7.8,36.1,0.387,3.6,2.863,859.88,242.54,48.0,0.13,0.6129,1
TUN-0416,Clay,12.5,10.86,1.15,0.556,33.6,21.2,1.438,4.1,0.76,535.98,192.35,55.9,0.0,0.4876,0
TUN-0417,Mixed_Clay_Sand,28.7,11.42,2.51,0.548,50.5,25.4,0.967,18.7,1.25,426.46,110.77,176.2,0.82,0.6154,1
TUN-0418,Mixed_Clay_Sand,6.9,11.15,0.62,0.253,30.1,24.0,0.602,2.0,1.305,1768.31,989.03,18.3,0.0,0.4811,0
TUN-0419,Clay,19.8,9.89,2.0,0.443,115.3,18.5,1.294,11.4,0.91,340.39,110.04,112.7,0.0,0.4623,0
TUN-0420,Clay,17.3,7.14,2.43,0.237,65.0,24.2,1.257,7.0,1.347,298.42,165.54,77.5,0.0,0.518,0
TUN-0421,Mixed_Clay_Sand,13.4,8.9,1.51,0.246,54.0,32.9,0.878,5.8,1.116,495.74,226.58,54.9,1.55,0.5144,0
TUN-0422,Clay,7.1,5.48,1.3,0.183,99.4,21.9,1.425,2.8,0.838,263.12,102.48,17.0,0.66,0.4,0
TUN-0423,Clay,10.3,10.77,0.96,0.302,174.8,27.9,1.636,5.7,0.3,253.49,122.65,58.5,0.11,0.3354,0
TUN-0424,Clay,20.3,7.68,2.64,0.376,56.2,18.9,1.599,11.0,1.056,228.0,114.07,123.3,0.96,0.5463,0
TUN-0425,Clay,30.7,6.39,4.81,0.162,142.1,22.9,0.838,21.2,1.33,135.6,68.11,204.4,1.33,0.5443,0
TUN-0426,Clay,21.4,3.8,5.63,0.165,145.5,27.9,1.184,8.1,0.544,27.33,9.94,79.0,1.8,0.338,0
TUN-0427,Clay,14.9,11.2,1.33,0.357,123.5,19.4,1.604,6.6,0.498,313.49,68.57,61.0,0.43,0.4072,0
TUN-0428,Mixed_Clay_Sand,32.6,4.84,6.74,0.265,59.6,29.5,1.066,8.3,1.708,90.69,50.64,77.7,0.75,0.6371,1
TUN-0429,Sand,32.9,5.91,5.57,0.197,6.8,41.7,0.358,13.8,8.0,637.51,324.55,125.8,0.8,0.8553,1
TUN-0430,Clay,22.5,10.1,2.23,0.571,95.2,20.5,0.943,15.8,1.426,488.01,128.69,158.6,0.2,0.5294,0
TUN-0431,Sand,32.9,4.87,6.75,0.254,0.1,40.3,0.497,11.1,8.0,431.95,120.18,111.0,1.49,0.8722,1
TUN-0432,Clay,16.4,5.35,3.06,0.245,167.5,19.7,1.027,9.8,0.3,42.79,13.49,92.7,0.0,0.3382,0
TUN-0433,Clay,26.9,10.16,2.64,0.337,121.6,19.8,1.749,11.8,1.201,349.92,183.25,106.1,1.13,0.5346,0
TUN-0434,Clay,32.6,4.2,7.75,0.233,135.0,23.7,1.19,12.1,1.526,64.95,32.35,116.2,0.55,0.5495,0
TUN-0435,Clay,18.9,10.6,1.78,0.406,77.1,25.4,1.58,14.8,1.093,488.22,154.46,146.1,0.31,0.5083,0
TUN-0436,Mixed_Clay_Sand,32.8,8.61,3.81,0.423,77.1,26.9,0.858,21.3,1.61,274.66,122.85,212.4,1.25,0.6222,1
TUN-0437,Sand,15.9,11.56,1.37,0.487,1.5,34.6,0.48,9.4,8.0,5051.2,1883.07,110.7,0.5,0.7618,1
TUN-0438,Clay,18.9,5.5,3.44,0.321,133.8,21.9,1.02,7.4,0.983,112.6,41.34,54.1,0.0,0.4416,0
TUN-0439,Mixed_Clay_Sand,18.5,4.96,3.73,0.135,29.6,22.0,1.159,7.7,1.42,142.7,68.71,56.1,0.76,0.576,1
TUN-0440,Mixed_Clay_Sand,29.8,5.91,5.04,0.208,47.7,27.9,0.682,20.8,1.704,149.15,83.07,210.0,0.75,0.6472,1
TUN-0441,Clay,5.8,3.79,1.52,0.103,100.1,21.8,0.979,2.9,0.625,115.05,30.94,11.5,0.0,0.3696,0
TUN-0442,Clay,31.8,6.78,4.7,0.255,35.5,24.1,1.924,14.2,2.279,249.38,59.17,121.8,0.82,0.6907,1
TUN-0443,Clay,15.1,6.36,2.37,0.215,132.4,21.5,1.189,6.9,0.917,183.58,37.74,78.4,0.0,0.4138,0
TUN-0444,Mixed_Clay_Sand,19.3,5.11,3.78,0.303,27.3,31.9,0.955,8.3,1.616,165.72,64.64,79.3,0.0,0.5824,1
TUN-0445,Clay,17.3,4.08,4.23,0.092,108.9,22.5,1.008,6.1,0.432,30.39,11.57,51.6,1.07,0.3458,0
TUN-0446,Clay,8.7,11.95,0.73,0.453,51.4,26.9,1.077,6.7,0.615,752.09,404.57,68.4,0.97,0.4521,0
TUN-0447,Sand,26.4,6.09,4.34,0.351,4.5,29.1,0.367,12.4,8.0,843.86,262.44,129.8,0.64,0.8312,1
TUN-0448,Clay,16.4,8.66,1.89,0.272,83.2,21.6,1.353,10.4,0.447,154.82,32.58,113.6,0.61,0.4575,0
TUN-0449,Mixed_Clay_Sand,33.9,7.21,4.7,0.409,35.6,25.4,0.552,14.4,2.624,305.18,170.43,143.3,0.0,0.6956,1
TUN-0450,Mixed_Clay_Sand,22.2,9.83,2.26,0.455,14.3,24.2,0.7,7.6,3.459,1127.81,263.17,86.0,1.0,0.7219,1
TUN-0451,Clay,6.2,6.42,0.96,0.247,165.2,27.1,1.4,3.3,0.3,147.17,46.25,40.2,0.4,0.3123,0
TUN-0452,Clay,8.7,8.55,1.02,0.394,34.2,25.7,1.527,4.3,0.668,416.97,138.32,44.3,0.38,0.463,0
TUN-0453,Sand,34.6,8.88,3.89,0.504,1.9,32.5,0.441,18.0,8.0,1372.07,821.82,150.0,0.88,0.8612,1
TUN-0454,Sand,29.6,9.49,3.12,0.486,5.1,38.2,0.459,13.4,8.0,1827.84,748.5,117.8,0.73,0.853,1
TUN-0455,Sand,14.4,10.77,1.34,0.239,7.2,37.1,0.397,7.9,4.217,2544.98,833.89,72.9,0.53,0.7075,1
TUN-0456,Clay,21.9,7.35,2.98,0.359,109.1,22.0,0.806,11.7,1.048,193.46,82.28,112.8,0.69,0.4994,0
TUN-0457,Mixed_Clay_Sand,9.7,11.96,0.81,0.314,68.8,29.6,0.975,4.8,0.857,952.36,513.77,56.7,0.18,0.4412,0
TUN-0458,Sand,24.9,8.94,2.79,0.419,2.6,41.6,0.352,10.2,8.0,1926.39,737.68,116.9,0.0,0.8136,1
TUN-0459,Sand,26.9,7.63,3.53,0.379,4.2,29.4,0.563,14.4,8.0,1299.45,525.59,134.5,0.41,0.8315,1
TUN-0460,Clay,28.6,4.77,6.0,0.127,57.3,20.3,1.609,17.7,1.191,71.76,24.37,167.2,0.55,0.6011,1
TUN-0461,Sand,16.3,8.69,1.87,0.322,0.4,37.8,0.488,5.2,8.0,2782.49,862.79,38.5,0.12,0.7599,1
TUN-0462,Mixed_Clay_Sand,7.7,11.02,0.7,0.603,78.0,33.8,1.18,5.0,0.664,784.68,180.84,38.9,0.96,0.421,0
TUN-0463,Mixed_Clay_Sand,34.1,5.34,6.39,0.231,42.5,29.1,0.872,22.4,2.815,178.82,84.69,212.2,0.89,0.7115,1
TUN-0464,Mixed_Clay_Sand,25.9,8.84,2.93,0.231,27.3,26.9,0.825,11.6,1.699,383.62,189.55,109.6,1.44,0.6517,1
TUN-0465,Sand,11.3,7.2,1.57,0.169,4.2,40.6,0.36,4.6,4.757,1637.91,495.55,38.8,0.0,0.7089,1
TUN-0466,Mixed_Clay_Sand,15.5,4.68,3.32,0.23,67.2,28.0,0.765,8.0,0.869,94.45,29.31,91.1,0.0,0.4798,0
TUN-0467,Mixed_Clay_Sand,29.9,10.3,2.9,0.208,58.0,25.0,1.177,13.9,1.261,332.2,137.76,145.1,1.67,0.6291,1
TUN-0468,Sand,19.2,9.45,2.03,0.529,0.4,29.5,0.521,5.5,8.0,2791.4,1197.66,48.7,0.4,0.7834,1
TUN-0469,Mixed_Clay_Sand,27.7,10.16,2.73,0.254,32.7,23.4,1.178,15.0,1.492,416.47,127.19,143.4,0.46,0.6337,1
TUN-0470,Clay,14.7,5.66,2.6,0.275,98.6,20.9,1.485,4.9,0.844,136.15,42.46,52.6,0.16,0.444,0
TUN-0471,Mixed_Clay_Sand,14.7,5.53,2.66,0.148,37.4,24.4,0.596,9.3,0.731,113.95,32.02,89.0,0.04,0.498,0
TUN-0472,Clay,15.8,4.63,3.42,0.265,107.1,27.6,1.222,9.1,1.166,119.67,25.9,84.5,0.0,0.4567,0
TUN-0473,Sand,22.8,9.4,2.42,0.265,4.3,34.0,0.421,7.9,8.0,2328.35,1282.23,74.2,1.1,0.814,1
TUN-0474,Mixed_Clay_Sand,20.4,6.33,3.23,0.291,22.1,24.1,1.083,4.5,1.834,268.06,105.42,53.4,1.22,0.6242,1
TUN-0475,Mixed_Clay_Sand,29.1,8.15,3.57,0.276,46.9,22.4,0.671,11.2,1.793,305.44,67.29,106.6,0.48,0.6442,1
TUN-0476,Clay,19.2,4.89,3.94,0.113,92.0,22.5,1.899,7.0,0.872,78.15,19.49,78.6,0.18,0.4826,0
TUN-0477,Clay,28.0,10.55,2.65,0.274,51.0,22.2,1.184,19.9,0.996,298.57,136.68,208.7,0.85,0.598,1
TUN-0478,Sand,23.4,11.67,2.01,0.548,3.5,41.9,0.443,4.2,8.0,3486.85,1983.6,48.9,0.0,0.8025,1
TUN-0479,Clay,24.5,6.29,3.89,0.217,119.9,20.2,0.975,15.4,0.835,100.85,28.7,137.9,0.99,0.4999,0
TUN-0480,Sand,14.3,5.26,2.73,0.15,4.4,38.2,0.413,3.8,5.637,817.37,231.26,46.4,0.98,0.7559,1
TUN-0481,Sand,9.9,6.47,1.53,0.382,4.2,38.1,0.373,5.1,4.204,1335.84,470.33,53.8,0.13,0.6739,1
TUN-0482,Sand,18.9,3.34,5.66,0.116,1.0,30.6,0.591,4.4,8.0,355.51,129.9,42.4,0.0,0.775,1
TUN-0483,Clay,20.2,6.28,3.21,0.135,87.1,26.2,0.939,6.2,0.991,146.14,75.68,54.0,1.1,0.5135,0
TUN-0484,Clay,16.2,11.52,1.4,0.651,121.9,23.8,1.053,12.5,1.455,895.76,471.47,136.8,0.0,0.4585,0
TUN-0485,Mixed_Clay_Sand,21.8,8.0,2.72,0.344,18.8,26.5,0.901,7.1,2.506,558.47,322.31,71.2,0.32,0.6565,1
TUN-0486,Mixed_Clay_Sand,10.6,10.02,1.06,0.271,69.5,28.3,1.181,3.0,0.331,237.13,115.61,40.5,0.24,0.4214,0
TUN-0487,Clay,14.7,9.08,1.62,0.201,138.2,23.3,1.008,6.1,0.542,227.32,99.56,50.5,0.91,0.4008,0
TUN-0488,Clay,27.9,9.51,2.93,0.213,169.2,27.3,1.276,14.2,0.854,207.64,107.91,152.5,1.19,0.4963,0
TUN-0489,Mixed_Clay_Sand,22.1,7.68,2.88,0.266,14.5,32.0,0.9,14.7,3.096,616.51,363.58,130.6,0.43,0.6941,1
TUN-0490,Sand,20.7,7.94,2.61,0.226,7.4,37.8,0.415,5.1,5.239,1195.2,505.03,59.3,0.56,0.789,1
TUN-0491,Sand,24.7,5.52,4.47,0.32,1.8,38.9,0.441,12.8,8.0,738.75,356.32,124.8,0.24,0.8164,1
TUN-0492,Clay,11.1,5.76,1.93,0.19,49.1,21.1,1.889,5.1,1.283,285.69,166.88,35.8,0.0,0.4892,0
TUN-0493,Mixed_Clay_Sand,28.0,11.55,2.42,0.643,16.7,27.9,0.992,19.2,3.858,1379.17,547.38,181.4,0.0,0.7628,1
TUN-0494,Clay,34.1,10.23,3.34,0.506,88.7,26.8,0.912,12.7,0.577,132.97,35.07,130.2,0.53,0.5482,0
TUN-0495,Clay,17.2,8.21,2.1,0.49,173.2,27.2,0.907,11.7,0.836,245.04,70.53,122.6,0.11,0.4082,0
TUN-0496,Mixed_Clay_Sand,9.7,7.12,1.36,0.422,79.2,32.1,1.087,6.6,0.807,316.89,156.5,71.5,0.25,0.4295,0
TUN-0497,Mixed_Clay_Sand,27.1,10.74,2.53,0.256,50.4,26.3,0.859,13.7,2.331,744.29,317.01,145.9,1.33,0.667,1
TUN-0498,Clay,27.6,10.05,2.75,0.544,172.9,25.5,0.865,8.6,1.388,379.02,222.7,80.1,0.33,0.5086,0
TUN-0499,Mixed_Clay_Sand,23.3,3.32,7.0,0.177,20.7,32.4,0.922,6.7,2.602,92.15,41.95,81.9,0.24,0.6681,1
TUN-0500,Clay,34.9,7.57,4.61,0.321,69.2,22.2,1.402,15.0,1.673,207.23,56.67,132.8,1.72,0.6402,1
TUN-0501,Clay,27.4,6.24,4.39,0.372,176.8,26.0,1.211,21.0,0.947,100.94,44.79,200.4,0.14,0.482,0
TUN-0502,Mixed_Clay_Sand,17.6,8.84,1.99,0.407,48.3,24.3,0.931,6.3,1.124,374.09,118.38,67.2,1.2,0.5429,0
TUN-0503,Sand,15.1,7.6,1.99,0.223,6.2,30.8,0.555,8.6,4.598,1316.09,309.98,70.2,0.77,0.7361,1
TUN-0504,Mixed_Clay_Sand,18.9,8.78,2.15,0.317,68.1,34.0,0.802,4.6,1.697,520.5,171.82,36.9,0.87,0.5558,1
TUN-0505,Sand,29.4,9.81,3.0,0.444,0.0,35.2,0.499,17.1,8.0,1963.71,817.84,186.2,0.57,0.8546,1
TUN-0506,Clay,6.6,5.97,1.1,0.273,159.4,26.1,1.154,2.1,0.308,121.75,42.43,12.2,0.0,0.3093,0
TUN-0507,Clay,21.8,6.88,3.16,0.321,53.9,19.5,1.169,7.6,1.311,213.33,76.97,73.4,0.0,0.5568,1
TUN-0508,Clay,21.7,9.23,2.35,0.329,71.0,22.9,0.921,13.5,1.404,414.81,137.5,142.9,0.09,0.5452,0
TUN-0509,Sand,26.2,7.59,3.46,0.432,1.2,34.7,0.359,3.3,8.0,1318.11,574.15,25.8,0.0,0.8238,1
TUN-0510,Clay,9.7,8.4,1.15,0.39,125.3,19.5,1.893,4.9,0.636,346.67,134.59,53.0,0.99,0.3859,0
TUN-0511,Sand,17.0,5.54,3.06,0.327,2.3,29.8,0.425,4.5,8.0,1086.38,486.33,36.9,0.94,0.775,1
TUN-0512,Sand,21.5,3.18,6.78,0.162,7.3,29.7,0.549,7.9,5.999,212.03,43.88,75.4,0.71,0.797,1
TUN-0513,Sand,23.0,9.75,2.36,0.253,1.7,42.0,0.409,8.5,8.0,2483.91,1452.35,78.7,1.03,0.8169,1
TUN-0514,Mixed_Clay_Sand,29.7,6.96,4.26,0.202,37.1,31.8,1.196,14.2,1.745,213.75,104.02,145.9,1.4,0.6691,1
TUN-0515,Clay,18.3,11.22,1.63,0.487,36.1,19.9,1.085,14.5,1.578,817.79,189.1,139.3,0.53,0.5725,1
TUN-0516,Mixed_Clay_Sand,10.3,5.07,2.03,0.209,13.7,34.3,0.753,4.6,1.844,343.37,155.25,44.0,0.85,0.5598,1
TUN-0517,Sand,33.8,4.0,8.45,0.132,1.8,41.9,0.424,9.9,8.0,284.39,132.33,104.4,1.6,0.8722,1
TUN-0518,Clay,27.4,5.76,4.75,0.318,47.2,23.7,1.425,11.8,1.148,103.87,40.1,107.1,0.0,0.5927,1
TUN-0519,Mixed_Clay_Sand,32.3,3.17,10.17,0.146,15.2,29.8,1.107,16.9,4.419,104.44,52.08,165.6,0.38,0.8115,1
TUN-0520,Mixed_Clay_Sand,5.6,3.58,1.56,0.194,13.0,30.8,0.723,3.4,0.874,149.85,64.37,24.9,0.0,0.4679,0
TUN-0521,Clay,11.1,7.46,1.48,0.352,132.1,18.7,1.714,7.0,0.779,297.3,150.76,49.2,0.64,0.3903,0
TUN-0522,Clay,32.6,5.66,5.76,0.282,162.1,20.4,1.898,19.7,1.268,94.79,38.93,196.1,1.67,0.5384,0
TUN-0523,Sand,6.8,4.62,1.48,0.095,0.9,38.2,0.351,1.7,7.568,1774.8,587.11,16.1,0.11,0.6964,1
TUN-0524,Clay,8.0,6.89,1.16,0.154,113.6,22.9,1.643,3.1,1.051,467.44,228.53,34.1,0.81,0.4042,0
TUN-0525,Mixed_Clay_Sand,19.6,4.73,4.15,0.262,35.1,31.5,0.724,6.9,1.126,94.21,51.51,71.4,0.24,0.5559,1
TUN-0526,Clay,28.5,10.73,2.66,0.459,70.6,23.3,1.804,13.1,1.282,389.68,216.22,105.8,0.0,0.5838,1
TUN-0527,Clay,7.9,11.55,0.68,0.611,143.7,23.0,1.607,2.9,0.723,924.3,207.83,32.6,0.0,0.3448,0
TUN-0528,Clay,28.2,5.99,4.71,0.285,144.9,26.2,1.848,16.9,0.787,73.62,29.56,160.9,1.12,0.4991,0
TUN-0529,Sand,30.7,10.96,2.8,0.242,5.8,31.2,0.597,15.0,8.0,2343.18,1042.51,130.8,0.47,0.8512,1
TUN-0530,Clay,15.9,4.62,3.45,0.216,106.8,25.7,0.913,8.0,0.987,99.77,38.64,62.2,0.0,0.4487,0
TUN-0531,Sand,19.4,4.82,4.03,0.202,4.8,28.3,0.401,4.3,7.082,632.92,195.35,34.3,0.74,0.7859,1
TUN-0532,Clay,15.5,5.4,2.87,0.317,108.0,24.1,1.683,7.2,0.683,94.02,48.53,69.6,0.33,0.4344,0
TUN-0533,Clay,18.6,5.52,3.36,0.31,33.2,24.5,1.634,13.8,1.299,158.23,56.79,126.3,0.0,0.5556,1
TUN-0534,Sand,5.3,3.16,1.66,0.154,7.1,38.9,0.379,3.0,1.989,286.54,80.35,30.8,0.0,0.5274,0
TUN-0535,Mixed_Clay_Sand,19.2,9.8,1.96,0.432,16.6,29.1,0.878,10.7,2.853,1070.77,480.82,101.1,0.57,0.6629,1
TUN-0536,Clay,22.7,4.54,5.0,0.2,102.7,18.3,1.186,9.0,1.123,73.69,39.33,82.2,1.05,0.5207,0
TUN-0537,Clay,5.1,4.97,1.03,0.25,118.4,23.4,1.137,1.7,0.848,307.92,132.15,13.9,1.31,0.3776,0
TUN-0538,Mixed_Clay_Sand,25.7,10.27,2.5,0.42,40.4,30.0,1.131,12.2,1.551,474.22,207.92,130.5,1.3,0.6279,1
TUN-0539,Sand,10.9,8.24,1.33,0.263,0.7,39.6,0.367,4.5,8.0,3727.41,889.95,37.0,1.09,0.7386,1
TUN-0540,Clay,9.1,6.32,1.43,0.262,159.6,23.4,1.598,5.8,0.677,224.85,132.84,61.0,0.5,0.3517,0
TUN-0541,Clay,25.1,11.73,2.14,0.552,151.1,19.0,1.673,10.1,1.012,416.95,208.58,91.4,0.91,0.4814,0
TUN-0542,Sand,8.5,11.41,0.75,0.298,6.1,30.1,0.6,2.3,2.938,3357.86,808.44,18.3,0.0,0.5977,1
TUN-0543,Mixed_Clay_Sand,33.7,10.27,3.29,0.383,10.2,22.5,0.847,18.2,6.539,1534.16,907.19,190.8,2.17,0.8724,1
TUN-0544,Clay,15.2,9.15,1.66,0.403,82.3,19.1,1.211,4.9,0.817,334.27,117.64,56.1,1.25,0.4785,0
TUN-0545,Sand,19.7,7.39,2.67,0.391,3.7,35.5,0.597,3.8,8.0,1660.27,883.62,54.5,0.0,0.7779,1
TUN-0546,Clay,31.2,9.46,3.29,0.218,135.6,18.4,1.018,18.6,0.718,157.17,69.65,181.0,1.84,0.528,0
TUN-0547,Mixed_Clay_Sand,34.1,3.11,10.95,0.171,14.9,28.9,0.79,22.5,4.648,102.36,48.8,204.6,0.65,0.8272,1
TUN-0548,Sand,22.8,3.68,6.2,0.082,1.4,40.2,0.439,7.2,8.0,359.43,109.19,63.2,0.94,0.8148,1
TUN-0549,Sand,32.4,3.46,9.39,0.181,0.5,32.6,0.356,18.0,8.0,219.22,76.94,191.2,0.26,0.8534,1
TUN-0550,Clay,30.4,4.82,6.31,0.237,60.0,18.9,1.88,22.8,1.57,88.33,37.2,247.1,1.35,0.6388,1
TUN-0551,Mixed_Clay_Sand,29.6,7.71,3.84,0.401,20.9,22.4,0.954,7.5,3.043,461.89,167.59,77.3,2.01,0.7585,1
TUN-0552,Sand,31.9,10.54,3.02,0.541,5.4,36.7,0.581,6.3,8.0,2090.51,1129.37,89.7,0.47,0.8517,1
TUN-0553,Clay,28.9,10.07,2.87,0.292,155.4,22.8,1.364,22.9,0.966,252.33,78.74,225.0,1.14,0.5078,0
TUN-0554,Clay,17.9,9.75,1.84,0.302,133.8,20.1,1.091,14.2,0.734,294.56,157.89,131.5,0.0,0.4223,0
TUN-0555,Mixed_Clay_Sand,23.2,6.26,3.71,0.313,70.5,25.1,0.517,7.8,0.74,94.8,51.69,79.3,0.66,0.5312,0
TUN-0556,Mixed_Clay_Sand,27.0,9.19,2.94,0.481,70.3,32.6,0.585,15.2,1.172,274.23,78.3,152.8,0.2,0.5716,1
TUN-0557,Clay,16.3,4.92,3.32,0.283,149.9,20.5,0.927,7.9,1.061,118.55,58.48,81.9,0.48,0.4191,0
TUN-0558,Sand,23.9,10.1,2.37,0.301,7.7,28.3,0.512,3.3,6.007,1924.25,643.25,29.8,0.55,0.8099,1
TUN-0559,Clay,23.9,10.17,2.35,0.287,38.7,20.2,1.156,10.5,1.479,478.73,259.66,88.2,1.91,0.6234,1
TUN-0560,Mixed_Clay_Sand,14.1,11.59,1.22,0.271,46.9,25.3,0.786,6.0,1.078,767.85,367.94,67.2,0.6,0.5102,0
TUN-0561,Sand,34.2,10.45,3.27,0.602,3.2,37.7,0.412,18.2,8.0,1915.86,463.59,181.1,0.86,0.8597,1
TUN-0562,Clay,24.2,6.15,3.93,0.349,95.2,23.0,1.218,8.1,0.646,78.95,45.89,79.4,0.81,0.5104,0
TUN-0563,Clay,8.4,8.51,0.99,0.474,53.1,18.2,1.861,5.5,0.644,414.14,231.52,63.0,0.45,0.442,0
TUN-0564,Clay,25.7,8.38,3.06,0.411,136.1,22.4,1.046,19.5,1.45,295.38,160.83,196.4,0.38,0.5132,0
TUN-0565,Mixed_Clay_Sand,25.5,9.28,2.75,0.288,33.6,33.9,0.944,5.3,1.996,506.48,131.28,35.5,0.09,0.6379,1
TUN-0566,Clay,6.8,9.64,0.71,0.489,153.6,24.5,1.728,4.0,0.906,925.71,204.91,38.7,0.64,0.3503,0
