building_id,timestamp,total_consumption_kwh,heating_kwh,cooling_kwh,lighting_kwh,appliances_kwh,hvac_kwh,other_kwh
B_0092,2022-08-21,150.23,16.94,41.01,26.21,34.79,29.37,1.91
B_0093,2022-08-21,178.92,15.37,43.57,31.2,41.75,30.82,16.2
B_0094,2022-08-21,140.86,11.42,40.32,18.79,30.13,25.77,14.44
B_0095,2022-08-21,119.86,9.78,30.21,19.79,34.77,23.95,1.36
B_0096,2022-08-21,157.63,17.46,36.72,27.13,40.94,30.4,4.98
B_0097,2022-08-21,121.43,12.54,31.77,17.59,36.0,24.54,0.0
B_0098,2022-08-21,152.23,17.2,33.69,21.3,35.99,28.76,15.27
B_0099,2022-08-21,157.59,13.69,38.78,21.73,36.67,34.74,11.99
B_0100,2022-08-21,124.08,10.51,31.28,17.72,28.81,21.22,14.54
B_0001,2022-08-22,183.94,14.81,40.87,30.62,42.59,34.4,20.66
B_0002,2022-08-22,161.15,16.2,41.76,26.99,40.16,30.41,5.64
B_0003,2022-08-22,188.24,19.63,49.36,32.45,50.36,31.56,4.88
B_0004,2022-08-22,256.0,22.91,65.6,41.23,61.26,47.63,17.39
B_0005,2022-08-22,189.43,18.2,51.49,23.7,56.79,37.13,2.11
B_0006,2022-08-22,64.86,6.24,16.02,7.93,17.77,15.0,1.89
B_0007,2022-08-22,199.78,18.95,61.8,26.49,47.34,41.9,3.31
B_0008,2022-08-22,106.62,12.16,24.36,18.42,31.3,24.96,0.0
B_0009,2022-08-22,137.02,13.96,42.42,24.09,33.79,31.67,0.0
B_0010,2022-08-22,138.66,13.36,33.45,24.92,38.87,22.31,5.75
B_0011,2022-08-22,237.48,20.77,72.85,37.99,47.55,43.83,14.5
B_0012,2022-08-22,153.58,14.04,47.83,19.42,40.91,29.94,1.44
B_0013,2022-08-22,152.78,15.16,41.29,19.54,31.89,25.75,19.16
B_0014,2022-08-22,161.45,13.47,42.63,21.6,45.56,36.06,2.13
B_0015,2022-08-22,182.17,18.01,47.97,24.32,43.65,41.68,6.53
B_0016,2022-08-22,190.59,19.85,49.28,24.56,44.12,32.32,20.45
B_0017,2022-08-22,229.07,20.17,56.3,37.22,53.22,50.36,11.8
B_0018,2022-08-22,184.51,21.24,55.31,29.66,42.77,40.79,0.0
B_0019,2022-08-22,277.81,31.23,61.1,39.57,61.32,49.65,34.94
B_0020,2022-08-22,258.94,28.37,77.57,34.56,61.74,42.37,14.32
B_0021,2022-08-22,261.63,21.24,71.7,38.85,61.61,47.26,20.97
B_0022,2022-08-22,126.35,12.61,35.44,15.57,37.58,24.33,0.81
B_0023,2022-08-22,198.08,16.48,48.12,26.55,58.03,36.55,12.35
B_0024,2022-08-22,162.64,15.67,48.39,24.9,42.45,33.28,0.0
B_0025,2022-08-22,173.92,16.04,47.8,23.91,38.09,33.91,14.17
B_0026,2022-08-22,151.41,12.73,41.89,25.9,31.33,26.11,13.46
B_0027,2022-08-22,184.92,16.21,45.32,33.0,42.36,38.07,9.97
B_0028,2022-08-22,208.89,22.97,45.33,29.36,56.08,35.6,19.54
B_0029,2022-08-22,201.41,22.85,49.33,32.2,44.98,44.47,7.59
B_0030,2022-08-22,172.68,13.85,40.97,24.1,47.95,41.12,4.68
B_0031,2022-08-22,167.08,19.29,43.07,27.2,48.42,31.26,0.0
B_0032,2022-08-22,217.73,23.69,67.51,33.5,50.12,50.24,0.0
B_0033,2022-08-22,235.85,25.0,62.92,34.12,56.32,49.68,7.81
B_0034,2022-08-22,223.31,19.41,51.94,33.13,60.12,45.51,13.21
B_0035,2022-08-22,155.74,18.32,39.93,26.51,33.19,36.93,0.87
B_0036,2022-08-22,175.53,15.53,40.4,30.49,51.4,41.77,0.0
B_0037,2022-08-22,147.09,16.08,40.75,23.85,38.85,34.75,0.0
B_0038,2022-08-22,94.44,8.02,23.49,15.34,26.43,19.45,1.71
B_0039,2022-08-22,158.57,16.44,43.31,21.57,44.41,28.13,4.71
B_0040,2022-08-22,142.68,14.03,35.16,19.5,38.33,31.3,4.37
B_0041,2022-08-22,190.4,16.38,57.2,34.26,46.41,44.1,0.0
B_0042,2022-08-22,163.72,17.1,41.94,28.03,47.57,38.0,0.0
B_0043,2022-08-22,141.16,12.24,41.09,19.2,41.34,31.86,0.0
B_0044,2022-08-22,178.75,17.51,45.93,23.83,37.96,32.96,20.56
B_0045,2022-08-22,200.56,22.23,44.57,33.45,40.59,35.27,24.45
B_0046,2022-08-22,161.07,18.85,43.05,21.98,39.27,37.06,0.84
B_0047,2022-08-22,142.02,13.66,42.78,20.73,33.07,31.26,0.51
B_0048,2022-08-22,135.03,16.11,40.86,22.66,38.09,32.26,0.0
B_0049,2022-08-22,179.38,19.92,54.74,29.36,48.47,34.33,0.0
B_0050,2022-08-22,165.14,14.59,53.04,24.04,36.04,30.42,7.01
B_0051,2022-08-22,153.86,13.56,34.28,24.32,44.66,34.89,2.16
B_0052,2022-08-22,158.46,18.42,45.0,27.26,45.05,35.79,0.0
B_0053,2022-08-22,173.44,15.08,49.78,27.54,35.47,38.04,7.52
B_0054,2022-08-22,189.06,22.28,56.84,32.23,46.23,39.33,0.0
B_0055,2022-08-22,182.03,16.3,48.55,22.86,52.46,31.44,10.42
B_0056,2022-08-22,191.65,22.87,55.03,26.08,55.84,40.67,0.0
B_0057,2022-08-22,196.84,19.3,43.49,34.46,56.44,44.78,0.0
B_0058,2022-08-22,165.32,16.96,47.62,22.03,39.53,30.58,8.62
B_0059,2022-08-22,199.34,22.19,49.95,32.09,44.28,33.97,16.85
B_0060,2022-08-22,154.82,13.08,39.34,26.78,35.36,35.63,4.64
B_0061,2022-08-22,223.42,21.99,62.54,38.65,50.55,43.03,6.65
B_0062,2022-08-22,125.39,12.66,36.9,19.78,32.12,24.48,0.0
B_0063,2022-08-22,155.88,12.62,34.31,21.28,37.75,31.22,18.7
B_0064,2022-08-22,208.91,18.63,45.87,25.84,49.94,37.79,30.83
B_0065,2022-08-22,170.1,15.34,47.02,20.62,46.0,30.01,11.12
B_0066,2022-08-22,254.26,25.53,62.42,35.78,53.63,54.49,22.41
B_0067,2022-08-22,160.87,14.08,46.41,22.41,35.6,26.67,15.7
B_0068,2022-08-22,262.64,29.35,83.39,38.38,65.02,61.95,0.0
B_0069,2022-08-22,180.77,19.12,41.62,31.17,38.55,34.85,15.46
B_0070,2022-08-22,131.4,12.43,30.1,23.39,37.05,26.76,1.67
B_0071,2022-08-22,193.8,17.55,42.26,31.72,52.55,38.59,11.14
B_0072,2022-08-22,185.79,18.89,48.18,32.01,52.92,34.24,0.0
B_0073,2022-08-22,132.78,13.57,39.76,19.42,28.88,30.38,0.78
B_0074,2022-08-22,232.89,19.03,70.06,39.45,69.42,39.89,0.0
B_0075,2022-08-22,194.22,19.32,43.93,34.37,45.63,35.15,15.81
B_0076,2022-08-22,181.57,19.75,53.62,27.93,40.9,42.04,0.0
B_0077,2022-08-22,162.83,16.92,49.59,25.22,40.99,33.22,0.0
B_0078,2022-08-22,217.64,20.52,54.27,27.98,44.99,48.71,21.17
B_0079,2022-08-22,179.31,16.74,39.37,25.72,37.9,39.71,19.87
B_0080,2022-08-22,179.11,15.88,41.79,27.92,48.77,40.96,3.79
B_0081,2022-08-22,217.56,18.92,47.34,37.89,51.4,40.43,21.58
B_0082,2022-08-22,115.46,9.42,34.22,16.13,33.45,26.29,0.0
B_0083,2022-08-22,194.92,19.53,43.77,26.0,43.02,42.83,19.79
B_0084,2022-08-22,169.16,18.05,45.49,21.89,45.25,28.36,10.13
B_0085,2022-08-22,143.47,15.5,36.53,17.39,34.32,33.29,6.45
B_0086,2022-08-22,200.24,17.83,43.41,34.09,41.2,46.92,16.79
B_0087,2022-08-22,140.77,13.59,34.13,23.56,36.81,32.43,0.25
B_0088,2022-08-22,159.81,14.67,43.68,28.54,36.47,34.86,1.58
B_0089,2022-08-22,156.37,17.71,37.79,22.69,44.37,36.07,0.0
B_0090,2022-08-22,158.52,17.14,49.23,19.15,39.03,37.73,0.0
B_0091,2022-08-22,139.46,14.28,32.02,21.22,31.56,31.85,8.53
B_0092,2022-08-22,203.4,16.54,61.35,25.87,52.5,38.07,9.07
B_0093,2022-08-22,149.15,13.69,34.7,26.24,34.36,30.58,9.58
B_0094,2022-08-22,208.19,23.55,47.79,34.25,57.92,37.52,7.15
B_0095,2022-08-22,161.74,13.68,37.47,27.23,38.66,31.07,13.63
B_0096,2022-08-22,182.16,17.73,41.25,30.37,43.8,43.7,5.31
B_0097,2022-08-22,125.86,10.97,38.69,19.32,26.02,22.77,8.08
B_0098,2022-08-22,178.28,21.33,48.9,30.29,48.59,41.57,0.0
B_0099,2022-08-22,190.74,19.79,45.89,29.6,39.63,44.87,10.95
B_0100,2022-08-22,181.17,17.02,50.79,25.07,48.47,37.75,2.06
B_0001,2022-08-23,197.05,16.2,44.98,28.24,57.05,36.6,13.99
B_0002,2022-08-23,240.28,23.21,56.23,35.72,59.04,50.29,15.79
B_0003,2022-08-23,143.88,15.42,42.87,21.15,42.16,26.35,0.0
B_0004,2022-08-23,222.76,26.42,60.4,29.25,65.6,41.73,0.0
B_0005,2022-08-23,141.07,12.47,37.01,17.52,34.13,30.85,9.09
B_0006,2022-08-23,126.88,14.58,31.14,21.95,37.29,23.5,0.0
B_0007,2022-08-23,197.51,19.2,57.94,27.12,47.33,36.26,9.67
B_0008,2022-08-23,186.19,19.59,47.15,30.49,48.86,34.65,5.45
B_0009,2022-08-23,167.13,18.14,37.34,29.13,43.53,38.52,0.47
B_0010,2022-08-23,129.11,12.69,34.76,17.31,27.4,29.17,7.78
B_0011,2022-08-23,157.66,17.76,40.9,22.3,38.03,35.17,3.5
B_0012,2022-08-23,181.86,16.28,57.68,32.08,43.8,35.3,0.0
B_0013,2022-08-23,174.43,19.3,42.68,21.6,50.36,34.37,6.11
B_0014,2022-08-23,198.43,20.59,61.43,34.17,48.98,37.39,0.0
B_0015,2022-08-23,249.22,20.98,75.67,38.47,73.53,56.91,0.0
B_0016,2022-08-23,248.48,29.67,55.5,30.79,56.96,56.74,18.83
B_0017,2022-08-23,122.98,14.75,29.97,21.02,28.86,26.85,1.52
B_0018,2022-08-23,248.4,25.03,59.01,30.19,53.99,49.91,30.26
B_0019,2022-08-23,136.96,15.67,35.77,16.84,40.05,29.36,0.0
B_0020,2022-08-23,168.6,17.58,40.16,28.88,33.92,28.06,20.0
B_0021,2022-08-23,195.33,19.63,47.86,33.44,48.56,33.19,12.65
B_0022,2022-08-23,210.44,24.04,64.26,31.02,58.12,37.04,0.0
B_0023,2022-08-23,101.94,8.83,26.28,16.78,29.46,22.76,0.0
B_0024,2022-08-23,231.66,20.31,73.22,37.04,67.04,44.65,0.0
B_0025,2022-08-23,188.79,19.2,56.75,29.5,52.23,31.81,0.0
B_0026,2022-08-23,136.44,14.03,38.96,17.83,29.81,31.98,3.82
B_0027,2022-08-23,178.58,20.95,47.87,26.93,47.48,34.82,0.53
B_0028,2022-08-23,215.3,23.82,61.57,29.96,57.06,35.58,7.32
B_0029,2022-08-23,115.37,13.71,27.74,13.89,24.24,19.5,16.28
B_0030,2022-08-23,203.14,20.54,44.74,24.54,43.18,33.81,36.33
B_0031,2022-08-23,198.67,15.93,55.41,27.81,52.65,36.94,9.92
B_0032,2022-08-23,173.81,15.57,54.34,31.26,42.35,38.88,0.0
B_0033,2022-08-23,268.24,30.16,66.81,46.76,75.88,62.02,0.0
B_0034,2022-08-23,191.88,22.71,43.07,24.63,49.95,42.79,8.73
B_0035,2022-08-23,175.88,14.92,53.54,30.87,36.75,38.74,1.06
B_0036,2022-08-23,210.47,21.75,55.36,35.16,60.53,46.58,0.0
B_0037,2022-08-23,106.19,12.57,32.24,16.76,30.58,19.16,0.0
B_0038,2022-08-23,169.94,14.55,41.33,30.23,39.65,40.74,3.44
B_0039,2022-08-23,111.63,12.1,30.95,14.67,27.0,19.19,7.72
B_0040,2022-08-23,202.0,22.13,43.75,34.47,52.98,40.45,8.21
B_0041,2022-08-23,169.58,15.0,47.97,28.35,43.21,28.42,6.62
B_0042,2022-08-23,195.26,22.01,56.82,27.65,49.61,39.48,0.0
B_0043,2022-08-23,183.76,16.62,53.59,31.91,54.74,36.57,0.0
B_0044,2022-08-23,211.9,21.52,51.43,26.25,55.5,40.53,16.67
B_0045,2022-08-23,216.51,20.84,61.8,35.98,55.71,42.56,0.0
B_0046,2022-08-23,145.59,11.92,46.59,19.12,31.23,28.81,7.92
B_0047,2022-08-23,204.34,20.53,55.43,25.73,48.51,33.03,21.1
B_0048,2022-08-23,94.9,9.59,24.98,16.52,21.5,18.48,3.82
B_0049,2022-08-23,122.66,11.78,30.5,20.46,32.78,20.23,6.91
B_0050,2022-08-23,130.58,12.14,34.61,18.11,34.79,30.23,0.71
B_0051,2022-08-23,155.16,17.71,40.69,25.54,34.55,26.41,10.27
B_0052,2022-08-23,183.66,16.73,56.01,23.65,48.36,29.8,9.11
B_0053,2022-08-23,279.66,24.87,73.59,44.09,73.45,63.6,0.05
B_0054,2022-08-23,186.98,18.19,44.57,30.84,46.71,38.23,8.44
B_0055,2022-08-23,169.55,20.16,38.85,28.82,49.58,38.29,0.0
B_0056,2022-08-23,185.94,18.0,42.69,25.21,44.33,38.91,16.8
B_0057,2022-08-23,202.78,16.68,47.99,29.4,49.1,48.21,11.41
B_0058,2022-08-23,158.88,14.26,36.1,26.4,43.55,27.3,11.28
B_0059,2022-08-23,144.08,15.56,45.88,22.82,40.09,32.2,0.0
B_0060,2022-08-23,164.23,14.97,39.36,24.37,33.54,30.95,21.03
B_0061,2022-08-23,209.78,18.45,54.32,28.91,57.13,37.16,13.81
B_0062,2022-08-23,138.49,16.2,31.52,16.65,37.69,27.99,8.45
B_0063,2022-08-23,193.6,18.58,58.67,31.82,48.43,39.73,0.0
B_0064,2022-08-23,209.45,22.61,60.54,29.38,58.75,46.43,0.0
B_0065,2022-08-23,220.11,19.52,54.27,33.46,48.14,38.29,26.44
B_0066,2022-08-23,201.53,22.02,48.07,28.92,51.59,40.64,10.27
B_0067,2022-08-23,196.19,18.27,54.58,30.65,41.91,45.46,5.32
B_0068,2022-08-23,207.96,18.43,54.33,27.82,54.26,46.83,6.29
B_0069,2022-08-23,200.39,18.93,62.74,34.55,57.68,37.11,0.0
B_0070,2022-08-23,160.65,13.87,48.87,27.94,36.55,38.21,0.0
B_0071,2022-08-23,197.14,22.65,62.56,32.56,45.62,44.65,0.0
B_0072,2022-08-23,244.62,25.62,60.41,37.44,56.55,57.75,6.85
B_0073,2022-08-23,162.96,13.53,36.87,21.57,40.02,33.61,17.36
B_0074,2022-08-23,155.85,16.68,33.83,19.55,33.89,37.34,14.56
B_0075,2022-08-23,187.13,19.12,56.67,32.95,39.82,39.63,0.0
B_0076,2022-08-23,213.44,19.65,58.15,28.47,43.13,42.55,21.49
B_0077,2022-08-23,207.8,17.89,49.12,35.11,41.71,41.2,22.77
B_0078,2022-08-23,187.77,15.35,60.62,27.09,43.01,37.04,4.68
B_0079,2022-08-23,222.3,25.58,71.36,29.54,64.93,40.51,0.0
B_0080,2022-08-23,105.57,9.55,33.51,17.86,24.13,24.55,0.0
B_0081,2022-08-23,148.58,17.24,37.56,19.03,43.9,34.72,0.0
B_0082,2022-08-23,225.34,26.43,52.03,38.35,64.95,44.73,0.0
B_0083,2022-08-23,126.11,11.76,39.49,20.25,30.48,27.87,0.0
B_0084,2022-08-23,176.36,19.17,38.77,30.38,38.44,29.1,20.49
B_0085,2022-08-23,214.03,19.12,58.64,28.4,55.84,46.12,5.9
B_0086,2022-08-23,223.13,22.11,62.9,33.24,51.03,37.65,16.2
B_0087,2022-08-23,199.04,20.75,47.15,31.99,59.28,37.55,2.32
B_0088,2022-08-23,131.91,15.59,35.56,23.04,28.15,28.25,1.32
B_0089,2022-08-23,150.49,14.75,38.96,20.02,42.77,32.23,1.77
B_0090,2022-08-23,186.68,21.75,51.41,25.16,44.36,32.5,11.5
B_0091,2022-08-23,132.61,13.84,33.72,18.02,39.04,26.51,1.47
B_0092,2022-08-23,238.45,20.99,73.34,29.49,61.38,45.4,7.85
B_0093,2022-08-23,188.95,15.56,45.55,31.62,51.19,31.85,13.16
B_0094,2022-08-23,171.9,14.45,53.77,22.57,37.38,36.25,7.48
B_0095,2022-08-23,163.51,18.78,36.81,23.17,38.86,29.23,16.65
B_0096,2022-08-23,179.86,19.91,50.35,22.43,36.26,42.73,8.19
B_0097,2022-08-23,129.11,13.29,35.96,17.92,26.56,27.78,7.61
B_0098,2022-08-23,172.94,18.32,53.41,27.9,38.17,38.1,0.0
B_0099,2022-08-23,144.21,15.51,31.91,19.28,31.63,30.73,15.15
B_0100,2022-08-23,169.36,15.16,42.0,28.54,45.25,31.97,6.44
B_0001,2022-08-24,164.08,15.09,44.92,25.71,43.26,32.07,3.04
B_0002,2022-08-24,207.33,22.63,52.02,29.9,59.31,42.88,0.59
B_0003,2022-08-24,190.13,21.94,45.62,32.97,51.35,35.92,2.33
B_0004,2022-08-24,143.24,17.12,42.27,25.47,41.73,28.87,0.0
B_0005,2022-08-24,154.45,15.92,39.13,22.59,33.05,32.33,11.44
B_0006,2022-08-24,210.58,18.49,59.73,33.21,51.4,45.37,2.37
B_0007,2022-08-24,152.76,16.88,33.99,19.12,32.72,35.22,14.84
B_0008,2022-08-24,127.42,13.56,29.44,21.71,30.8,27.16,4.76
B_0009,2022-08-24,168.2,16.5,39.16,25.92,37.95,39.59,9.06
B_0010,2022-08-24,202.41,24.29,46.93,31.05,59.52,33.46,7.15
B_0011,2022-08-24,217.2,22.25,53.29,29.11,56.65,50.04,5.86
B_0012,2022-08-24,192.89,18.88,50.61,33.1,45.2,37.87,7.23
B_0013,2022-08-24,153.19,15.71,37.01,27.14,44.7,35.71,0.0
B_0014,2022-08-24,204.73,18.28,57.74,26.9,52.0,41.39,8.4
B_0015,2022-08-24,156.47,15.43,36.6,27.14,46.26,32.09,0.0
B_0016,2022-08-24,132.66,13.1,41.01,21.71,33.43,31.11,0.0
B_0017,2022-08-24,162.51,16.48,44.27,27.15,38.69,28.72,7.2
B_0018,2022-08-24,153.67,14.28,35.68,21.87,36.8,33.08,11.95
B_0019,2022-08-24,159.99,18.45,47.98,25.01,36.58,37.86,0.0
B_0020,2022-08-24,170.16,15.77,53.39,30.11,39.91,29.39,1.58
B_0021,2022-08-24,195.07,17.59,57.73,30.44,45.41,43.59,0.32
B_0022,2022-08-24,154.43,12.99,49.51,26.89,43.93,25.83,0.0
B_0023,2022-08-24,226.29,22.17,66.12,31.75,58.94,38.09,9.22
B_0024,2022-08-24,178.68,18.72,50.1,30.76,41.15,40.42,0.0
B_0025,2022-08-24,206.05,20.21,56.17,32.56,47.48,38.97,10.67
B_0026,2022-08-24,202.17,17.84,45.94,30.95,59.39,43.83,4.22
B_0027,2022-08-24,143.45,13.92,39.95,23.78,35.55,25.25,4.99
B_0028,2022-08-24,155.2,14.76,33.69,21.0,35.86,34.33,15.56
B_0029,2022-08-24,203.44,17.63,54.06,27.35,51.48,47.81,5.11
B_0030,2022-08-24,186.42,17.75,59.24,33.47,55.44,30.16,0.0
B_0031,2022-08-24,188.99,18.66,43.5,27.52,50.67,33.54,15.09
B_0032,2022-08-24,212.4,24.79,51.11,35.4,55.12,39.87,6.11
B_0033,2022-08-24,219.18,20.45,70.0,38.87,44.55,39.55,5.77
B_0034,2022-08-24,158.41,17.08,35.33,23.97,34.77,34.63,12.63
B_0035,2022-08-24,152.89,14.85,37.19,21.98,42.04,28.88,7.94
B_0036,2022-08-24,128.19,14.79,36.69,21.67,26.11,21.79,7.15
B_0037,2022-08-24,181.13,19.46,40.05,25.55,51.03,39.24,5.8
B_0038,2022-08-24,182.62,16.17,56.6,29.26,43.68,37.71,0.0
B_0039,2022-08-24,212.64,20.01,54.58,31.99,61.48,47.13,0.0
B_0040,2022-08-24,134.63,12.14,29.78,16.87,39.39,29.57,6.88
B_0041,2022-08-24,193.36,17.76,55.37,27.27,55.72,41.51,0.0
B_0042,2022-08-24,135.56,13.23,41.55,16.5,27.27,26.02,10.98
B_0043,2022-08-24,251.36,23.43,71.26,36.99,65.94,47.78,5.95
B_0044,2022-08-24,163.01,19.05,42.01,20.84,46.31,28.04,6.77
B_0045,2022-08-24,96.87,10.08,24.88,16.19,20.02,19.25,6.46
B_0046,2022-08-24,199.29,18.51,49.49,27.02,58.12,38.13,8.03
B_0047,2022-08-24,162.07,18.25,41.15,22.5,40.12,32.79,7.25
B_0048,2022-08-24,174.23,14.07,39.38,21.61,35.71,41.46,22.0
B_0049,2022-08-24,176.72,18.55,52.32,27.89,37.1,34.31,6.54
B_0050,2022-08-24,158.43,15.52,45.53,27.97,38.91,31.51,0.0
B_0051,2022-08-24,136.33,15.44,38.72,22.17,38.97,27.04,0.0
B_0052,2022-08-24,222.06,24.24,62.98,35.9,58.7,35.89,4.35
B_0053,2022-08-24,199.8,19.17,58.89,24.88,40.93,38.81,17.12
B_0054,2022-08-24,159.06,14.9,37.47,21.51,44.37,25.56,15.26
B_0055,2022-08-24,158.63,14.41,50.47,22.36,44.2,31.95,0.0
B_0056,2022-08-24,186.83,19.21,46.88,25.5,56.0,40.63,0.0
B_0057,2022-08-24,189.37,21.87,59.04,24.69,51.07,39.39,0.0
B_0058,2022-08-24,136.39,12.85,39.11,20.1,30.27,26.69,7.37
B_0059,2022-08-24,120.66,12.76,28.73,20.31,34.86,28.21,0.0
B_0060,2022-08-24,146.88,14.51,45.03,25.4,42.46,26.84,0.0
B_0061,2022-08-24,213.17,19.89,48.18,29.61,53.07,48.54,13.88
B_0062,2022-08-24,158.98,15.57,44.37,24.96,40.88,32.02,1.18
B_0063,2022-08-24,227.66,23.0,58.96,34.12,56.52,38.81,16.25
B_0064,2022-08-24,203.74,20.23,58.09,27.09,57.72,41.47,0.0
B_0065,2022-08-24,118.01,11.62,31.07,20.35,31.32,22.26,1.4
B_0066,2022-08-24,194.96,21.8,55.34,23.87,54.37,37.34,2.24
B_0067,2022-08-24,230.93,20.54,61.28,31.17,50.43,47.57,19.94
B_0068,2022-08-24,161.29,18.48,45.55,22.57,38.13,26.11,10.45
B_0069,2022-08-24,55.53,5.72,13.8,7.74,15.34,13.13,0.0
B_0070,2022-08-24,176.57,16.41,39.21,23.62,40.76,40.36,16.21
B_0071,2022-08-24,172.39,14.4,48.51,22.44,39.52,37.19,10.33
B_0072,2022-08-24,199.12,20.24,49.3,34.37,51.6,35.0,8.61
B_0073,2022-08-24,202.3,21.75,63.03,28.85,41.36,42.94,4.37
B_0074,2022-08-24,163.29,17.57,41.25,20.03,42.16,26.64,15.64
B_0075,2022-08-24,191.25,18.83,59.47,29.86,46.73,31.36,4.99
B_0076,2022-08-24,241.4,28.31,73.42,42.63,66.05,41.0,0.0
B_0077,2022-08-24,181.85,16.77,54.11,32.54,36.67,29.7,12.05
B_0078,2022-08-24,170.79,15.29,40.53,23.08,49.09,32.89,9.92
B_0079,2022-08-24,238.82,20.39,52.1,31.76,71.65,53.63,9.29
B_0080,2022-08-24,206.98,24.49,44.73,33.25,57.09,44.15,3.26
B_0081,2022-08-24,176.12,18.41,50.34,27.08,46.58,41.39,0.0
B_0082,2022-08-24,189.86,16.01,42.61,24.54,47.63,32.01,27.05
B_0083,2022-08-24,189.45,17.67,48.73,28.39,40.13,42.15,12.38
B_0084,2022-08-24,244.95,22.71,75.75,36.23,63.43,54.72,0.0
B_0085,2022-08-24,194.7,18.44,62.23,24.69,55.71,45.87,0.0
B_0086,2022-08-24,238.34,20.16,60.27,38.19,70.19,42.96,6.56
B_0087,2022-08-24,180.74,18.0,56.05,28.28,46.98,42.29,0.0
B_0088,2022-08-24,164.08,17.41,42.25,19.91,36.4,33.54,14.56
B_0089,2022-08-24,190.38,19.28,44.34,30.06,48.2,36.13,12.37
B_0090,2022-08-24,171.88,18.51,51.58,28.2,42.59,33.16,0.0
B_0091,2022-08-24,187.3,18.44,51.74,28.51,42.0,36.3,10.32
B_0092,2022-08-24,200.8,17.93,64.26,28.54,51.51,46.03,0.0
B_0093,2022-08-24,163.96,14.66,51.5,19.68,39.13,37.71,1.28
B_0094,2022-08-24,154.87,15.22,42.93,25.32,45.28,25.2,0.92
B_0095,2022-08-24,219.79,20.61,54.52,29.34,60.74,38.42,16.16
B_0096,2022-08-24,194.28,18.74,54.53,25.32,47.14,40.29,8.26
B_0097,2022-08-24,152.73,13.26,35.17,23.58,33.57,34.55,12.61
B_0098,2022-08-24,144.09,12.71,38.92,23.7,42.9,31.89,0.0
B_0099,2022-08-24,198.27,22.98,60.66,33.74,58.7,46.9,0.0
B_0100,2022-08-24,212.53,20.54,46.91,26.57,44.91,44.56,29.03
B_0001,2022-08-25,197.59,16.02,59.11,32.62,44.98,36.13,8.72
B_0002,2022-08-25,140.06,15.13,35.89,23.65,39.19,31.99,0.0
B_0003,2022-08-25,169.64,16.97,47.26,23.58,48.24,35.88,0.0
B_0004,2022-08-25,107.54,12.9,24.88,15.93,28.68,23.49,1.67
B_0005,2022-08-25,203.08,18.83,53.27,32.01,56.89,46.39,0.0
B_0006,2022-08-25,222.18,19.82,68.91,38.85,64.86,52.47,0.0
B_0007,2022-08-25,221.48,24.19,70.61,27.8,61.3,46.3,0.0
B_0008,2022-08-25,184.46,20.97,54.55,29.58,55.16,31.3,0.0
B_0009,2022-08-25,204.71,18.68,54.66,27.11,46.88,38.89,18.49
B_0010,2022-08-25,218.58,19.37,59.62,32.67,47.34,44.05,15.53
B_0011,2022-08-25,243.97,25.71,72.13,38.73,53.05,53.55,0.79
B_0012,2022-08-25,172.63,19.42,39.44,22.4,36.55,35.23,19.59
B_0013,2022-08-25,138.88,15.37,38.08,19.44,33.64,29.88,2.46
B_0014,2022-08-25,213.14,19.77,66.55,33.26,45.0,43.15,5.4
B_0015,2022-08-25,162.16,13.94,48.6,28.92,48.08,35.64,0.0
B_0016,2022-08-25,216.1,24.06,64.8,30.33,57.85,42.06,0.0
B_0017,2022-08-25,181.61,16.37,48.42,24.97,53.95,31.42,6.49
B_0018,2022-08-25,245.26,22.83,61.2,38.06,50.18,53.12,19.87
B_0019,2022-08-25,190.1,16.33,55.29,26.16,44.19,35.02,13.11
B_0020,2022-08-25,169.35,14.29,51.54,24.82,42.99,28.71,7.0
B_0021,2022-08-25,202.24,23.75,47.5,27.43,53.71,33.06,16.8
B_0022,2022-08-25,214.39,18.01,50.87,27.05,54.56,40.48,23.44
B_0023,2022-08-25,189.36,18.49,43.43,28.74,42.87,42.92,12.91
B_0024,2022-08-25,162.21,13.22,36.72,24.09,43.76,31.12,13.3
B_0025,2022-08-25,116.4,13.46,35.74,15.31,28.67,26.29,0.0
B_0026,2022-08-25,237.4,24.04,63.71,34.6,67.48,38.51,9.06
B_0027,2022-08-25,212.93,21.81,51.21,26.07,51.21,38.46,24.17
B_0028,2022-08-25,174.7,18.19,55.48,29.77,38.16,31.39,1.71
B_0029,2022-08-25,216.1,22.29,67.15,26.42,49.04,37.07,14.12
B_0030,2022-08-25,148.9,13.08,48.04,20.55,40.33,28.46,0.0
B_0031,2022-08-25,155.48,12.57,48.73,18.96,41.99,29.92,3.32
B_0032,2022-08-25,243.83,22.96,70.4,35.18,52.05,45.16,18.09
B_0033,2022-08-25,121.52,10.14,27.95,20.33,35.63,25.27,2.2
B_0034,2022-08-25,221.74,25.51,63.02,38.05,59.41,46.98,0.0
B_0035,2022-08-25,105.72,11.45,30.66,12.89,22.91,19.43,8.4
B_0036,2022-08-25,237.26,19.97,70.86,38.92,59.52,38.17,9.82
B_0037,2022-08-25,233.28,26.38,60.19,38.6,59.23,42.36,6.51
B_0038,2022-08-25,152.72,15.13,47.98,26.25,45.29,34.43,0.0
B_0039,2022-08-25,218.18,25.71,55.46,32.07,49.64,47.37,7.94
