material,quantity_kg,area_m2,gwp_total_kgco2eq,gwp_per_m2_kgco2eq,embodied_energy_total_mj,embodied_energy_per_m2_mj,water_usage_total_l,recyclability_pct,lifespan_years,demolition_gwp_kgco2eq,installation_gwp_kgco2eq,total_gwp_with_installation,measure,building_id,scenario_name,operational_gwp_savings_kgco2eq_year,capacity_kwp
glass_double_glazed,47379.0,473.79,40272.15,85.0,753326.1,1590.0,14213.7,100.0,35,2463.71,47.38,42783.24,window_replacement,BLD_047,Deep Retrofit,,
solar_pv,,,12614.13,,175196.25,,,,25,,700.79,13314.92,solar_pv,BLD_047,Deep Retrofit,3503.93,7.01
eps_insulation,3131.93,1252.77,10899.1,8.7,277488.55,221.5,626.39,95.0,50,,62.64,10961.74,wall_insulation,BLD_048,Minimal,,
mineral_wool_insulation,5652.06,942.01,7234.64,7.68,94954.61,100.8,2826.03,60.0,50,,39.25,7273.89,roof_insulation,BLD_048,Minimal,,
eps_insulation,3131.93,1252.77,10899.1,8.7,277488.55,221.5,626.39,95.0,50,,62.64,10961.74,wall_insulation,BLD_048,Standard,,
mineral_wool_insulation,5652.06,942.01,7234.64,7.68,94954.61,100.8,2826.03,60.0,50,,39.25,7273.89,roof_insulation,BLD_048,Standard,,
glass_double_glazed,60512.0,605.12,51435.2,85.0,962140.8,1590.0,18153.6,100.0,35,3146.62,60.51,54642.34,window_replacement,BLD_048,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_048,Standard,1700.0,
eps_insulation,3131.93,1252.77,10899.1,8.7,277488.55,221.5,626.39,95.0,50,,62.64,10961.74,wall_insulation,BLD_048,Deep Retrofit,,
mineral_wool_insulation,5652.06,942.01,7234.64,7.68,94954.61,100.8,2826.03,60.0,50,,39.25,7273.89,roof_insulation,BLD_048,Deep Retrofit,,
glass_double_glazed,60512.0,605.12,51435.2,85.0,962140.8,1590.0,18153.6,100.0,35,3146.62,60.51,54642.34,window_replacement,BLD_048,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_048,Deep Retrofit,1700.0,
solar_pv,,,25434.27,,353253.75,,,,25,,1413.02,26847.28,solar_pv,BLD_048,Deep Retrofit,7065.07,14.13
eps_insulation,3551.7,1420.68,12359.92,8.7,314680.62,221.5,710.34,95.0,50,,71.03,12430.95,wall_insulation,BLD_049,Minimal,,
mineral_wool_insulation,2281.68,380.28,2920.55,7.68,38332.22,100.8,1140.84,60.0,50,,15.84,2936.39,roof_insulation,BLD_049,Minimal,,
eps_insulation,3551.7,1420.68,12359.92,8.7,314680.62,221.5,710.34,95.0,50,,71.03,12430.95,wall_insulation,BLD_049,Standard,,
mineral_wool_insulation,2281.68,380.28,2920.55,7.68,38332.22,100.8,1140.84,60.0,50,,15.84,2936.39,roof_insulation,BLD_049,Standard,,
glass_double_glazed,61903.0,619.03,52617.55,85.0,984257.7,1590.0,18570.9,100.0,35,3218.96,61.9,55898.41,window_replacement,BLD_049,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_049,Standard,1700.0,
eps_insulation,3551.7,1420.68,12359.92,8.7,314680.62,221.5,710.34,95.0,50,,71.03,12430.95,wall_insulation,BLD_049,Deep Retrofit,,
mineral_wool_insulation,2281.68,380.28,2920.55,7.68,38332.22,100.8,1140.84,60.0,50,,15.84,2936.39,roof_insulation,BLD_049,Deep Retrofit,,
glass_double_glazed,61903.0,619.03,52617.55,85.0,984257.7,1590.0,18570.9,100.0,35,3218.96,61.9,55898.41,window_replacement,BLD_049,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_049,Deep Retrofit,1700.0,
solar_pv,,,10267.56,,142605.0,,,,25,,570.42,10837.98,solar_pv,BLD_049,Deep Retrofit,2852.1,5.7
eps_insulation,1899.55,759.82,6610.43,8.7,168300.13,221.5,379.91,95.0,50,,37.99,6648.42,wall_insulation,BLD_050,Minimal,,
mineral_wool_insulation,4796.34,799.39,6139.32,7.68,80578.51,100.8,2398.17,60.0,50,,33.31,6172.63,roof_insulation,BLD_050,Minimal,,
eps_insulation,1899.55,759.82,6610.43,8.7,168300.13,221.5,379.91,95.0,50,,37.99,6648.42,wall_insulation,BLD_050,Standard,,
mineral_wool_insulation,4796.34,799.39,6139.32,7.68,80578.51,100.8,2398.17,60.0,50,,33.31,6172.63,roof_insulation,BLD_050,Standard,,
glass_double_glazed,24407.0,244.07,20745.95,85.0,388071.3,1590.0,7322.1,100.0,35,1269.16,24.41,22039.52,window_replacement,BLD_050,Standard,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_050,Standard,1700.0,
eps_insulation,1899.55,759.82,6610.43,8.7,168300.13,221.5,379.91,95.0,50,,37.99,6648.42,wall_insulation,BLD_050,Deep Retrofit,,
mineral_wool_insulation,4796.34,799.39,6139.32,7.68,80578.51,100.8,2398.17,60.0,50,,33.31,6172.63,roof_insulation,BLD_050,Deep Retrofit,,
glass_double_glazed,24407.0,244.07,20745.95,85.0,388071.3,1590.0,7322.1,100.0,35,1269.16,24.41,22039.52,window_replacement,BLD_050,Deep Retrofit,,
air_source_heat_pump,,,1200.0,,15500.0,,,,20,,150.0,1350.0,hvac_upgrade_heat_pump,BLD_050,Deep Retrofit,1700.0,
solar_pv,,,21583.53,,299771.25,,,,25,,1199.09,22782.61,solar_pv,BLD_050,Deep Retrofit,5995.43,11.99
