material_type,quantity,unit,epd_number,manufacturer,production_location,transport_distance_km,a1_a3_embodied_carbon_kg_co2,a1_raw_material_kg_co2,a2_transport_kg_co2,a3_manufacturing_kg_co2,a4_transport_to_site_kg_co2,a5_installation_kg_co2,b1_b7_use_stage_kg_co2_per_year,c1_deconstruction_kg_co2,c2_transport_eol_kg_co2,c3_waste_processing_kg_co2,c4_disposal_kg_co2,d_recycling_potential_kg_co2,density_kg_m3,recyclability_pct,expected_lifespan_years,renewable_content_pct,recycled_content_pct,certification_standard,valid_from,valid_until,ozone_depletion_potential_value,ozone_depletion_potential_unit,acidification_potential_value,acidification_potential_unit,eutrophication_potential_value,eutrophication_potential_unit,photochemical_oxidation_potential_value,photochemical_oxidation_potential_unit,abiotic_depletion_potential_value,abiotic_depletion_potential_unit,water_consumption_value,water_consumption_unit,primary_energy_demand_value,primary_energy_demand_unit,building_id,retrofit_measure
aluminum,27150.660000000003,kg,EPD-3855-ALU,Aluminum Corp 16,Asia,1051,307962.85,92388.85,30796.28,184777.71,1357.53,543.01,27.151,271.51,814.52,543.01,1357.53,-148481.76,2700,95.8,46,4.281680927111935,18.221079400592917,ISO 21930,2023-01-01,2028-01-01,94381.159,kg CFC-11 eq,48079.447,kg SO2 eq,169030.011,kg PO4 eq,99785.82,kg C2H4 eq,108022.691,kg Sb eq,95151.522,m3,43337.605,MJ,BLD_00062,solar_panels
steel,13575.330000000002,kg,EPD-3803-STE,Steel Corp 77,North America,1780,28237.41,8471.22,2823.74,16942.45,678.77,271.51,13.575,135.75,407.26,271.51,678.77,-13129.17,7850,92.9,96,11.336408302775844,43.74047156311182,EN 15804,2023-01-01,2028-01-01,101910.801,kg CFC-11 eq,67667.277,kg SO2 eq,124697.156,kg PO4 eq,103308.793,kg C2H4 eq,58047.264,kg Sb eq,26603.592,m3,61340.416,MJ,BLD_00062,solar_panels
insulation_mineral_wool,171243.13499999998,kg,EPD-5805-INS,Insulation_mineral_wool Corp 74,Europe,937,214073.01,64221.9,21407.3,128443.8,8562.16,3424.86,171.243,1712.43,5137.29,3424.86,8562.16,-66156.9,100,54.5,41,18.444966340334,32.25643472661884,ISO 21930,2023-01-01,2028-01-01,1219777.273,kg CFC-11 eq,245139.299,kg SO2 eq,942050.392,kg PO4 eq,810803.792,kg C2H4 eq,1163682.281,kg Sb eq,135569.37,m3,1697753.669,MJ,BLD_00016,roof_insulation
glass,342486.26999999996,kg,EPD-1723-GLA,Glass Corp 9,Europe,1066,352259.73,105677.92,35225.97,211355.84,17124.31,6849.73,342.486,3424.86,10274.59,6849.73,17124.31,-170271.21,2500,97.5,44,4.988560194692983,3.163515822030727,EN 15804,2023-01-01,2028-01-01,983383.523,kg CFC-11 eq,2079703.605,kg SO2 eq,817913.829,kg PO4 eq,1450876.671,kg C2H4 eq,87182.082,kg Sb eq,1858961.475,m3,2459017.185,MJ,BLD_00016,window_upgrade
aluminum,91329.67199999999,kg,EPD-1881-ALU,Aluminum Corp 41,Europe,627,1070135.07,321040.52,107013.51,642081.04,4566.48,1826.59,91.33,913.3,2739.89,1826.59,4566.48,-526307.33,2700,98.8,59,15.038334487305354,31.755556110143747,EN 15804,2023-01-01,2028-01-01,564829.668,kg CFC-11 eq,413069.616,kg SO2 eq,592582.874,kg PO4 eq,245851.139,kg C2H4 eq,25571.046,kg Sb eq,643737.11,m3,563510.992,MJ,BLD_00016,window_upgrade
glass,24154.980000000003,kg,EPD-5274-GLA,Glass Corp 77,North America,1853,21309.47,6392.84,2130.95,12785.68,1207.75,483.1,24.155,241.55,724.65,483.1,1207.75,-9796.68,2500,93.5,50,13.208930555451133,10.021906422271398,ISO 14025,2023-01-01,2028-01-01,86601.604,kg CFC-11 eq,209323.822,kg SO2 eq,167874.751,kg PO4 eq,64873.401,kg C2H4 eq,167323.841,kg Sb eq,58634.361,m3,130584.73,MJ,BLD_00052,solar_panels
aluminum,16103.320000000002,kg,EPD-9662-ALU,Aluminum Corp 64,Europe,281,159329.63,47798.89,15932.96,95597.78,805.17,322.07,16.103,161.03,483.1,322.07,805.17,-77916.82,2700,95.4,42,2.3997217000809146,11.523938266057248,ISO 14025,2023-01-01,2028-01-01,98247.144,kg CFC-11 eq,141292.557,kg SO2 eq,150764.369,kg PO4 eq,33569.466,kg C2H4 eq,15098.812,kg Sb eq,37863.513,m3,44362.275,MJ,BLD_00052,solar_panels
steel,8051.660000000001,kg,EPD-8244-STE,Steel Corp 2,Local,1848,17146.0,5143.8,1714.6,10287.6,402.58,161.03,8.052,80.52,241.55,161.03,402.58,-8040.81,7850,90.5,81,10.064478439861556,38.59400212827801,ISO 14025,2023-01-01,2028-01-01,19323.122,kg CFC-11 eq,60039.557,kg SO2 eq,39075.764,kg PO4 eq,65459.745,kg C2H4 eq,52004.158,kg Sb eq,67769.174,m3,58346.756,MJ,BLD_00052,solar_panels
insulation_polyurethane,60387.45,kg,EPD-3820-INS,Insulation_polyurethane Corp 23,Europe,1750,204348.95,61304.68,20434.89,122609.37,3019.37,1207.75,60.387,603.87,1811.62,1207.75,3019.37,-20587.96,30,12.8,26,6.104739648390627,25.952961777798933,ISO 21930,2023-01-01,2028-01-01,491626.663,kg CFC-11 eq,144460.464,kg SO2 eq,192066.589,kg PO4 eq,364573.717,kg C2H4 eq,310939.343,kg Sb eq,529451.673,m3,339246.033,MJ,BLD_00052,wall_insulation
aluminum,4025.83,kg,EPD-5184-ALU,Aluminum Corp 76,North America,1024,38895.7,11668.71,3889.57,23337.42,201.29,80.52,4.026,40.26,120.77,80.52,201.29,-18583.79,2700,98.8,49,19.447789213244782,33.43079793094467,ISO 14025,2023-01-01,2028-01-01,39921.275,kg CFC-11 eq,23800.867,kg SO2 eq,598.225,kg PO4 eq,31471.533,kg C2H4 eq,25443.137,kg Sb eq,20580.463,m3,6604.878,MJ,BLD_00052,wall_insulation
insulation_mineral_wool,36232.47,kg,EPD-2597-INS,Insulation_mineral_wool Corp 64,Europe,1496,41214.32,12364.29,4121.43,24728.59,1811.62,724.65,36.232,362.32,1086.97,724.65,1811.62,-10816.3,100,66.0,50,16.583418540108518,49.22623046604892,ISO 21930,2023-01-01,2028-01-01,284520.255,kg CFC-11 eq,86435.604,kg SO2 eq,178334.22,kg PO4 eq,99918.416,kg C2H4 eq,93278.556,kg Sb eq,81220.546,m3,322365.029,MJ,BLD_00052,roof_insulation
glass,72464.94,kg,EPD-6593-GLA,Glass Corp 95,Local,1225,59690.21,17907.06,5969.02,35814.12,3623.25,1449.3,72.465,724.65,2173.95,1449.3,3623.25,-27369.65,2500,97.1,50,1.8176209178589553,11.161553942771452,EN 15804,2023-01-01,2028-01-01,667934.222,kg CFC-11 eq,377220.455,kg SO2 eq,168584.062,kg PO4 eq,362928.677,kg C2H4 eq,550776.012,kg Sb eq,33969.339,m3,455203.498,MJ,BLD_00052,window_upgrade
aluminum,19323.984,kg,EPD-3555-ALU,Aluminum Corp 79,Local,1312,180460.7,54138.21,18046.07,108276.42,966.2,386.48,19.324,193.24,579.72,386.48,966.2,-87606.7,2700,96.8,49,8.08089393014983,4.066658799504319,ISO 14025,2023-01-01,2028-01-01,184170.729,kg CFC-11 eq,1679.557,kg SO2 eq,10346.562,kg PO4 eq,31716.201,kg C2H4 eq,99355.55,kg Sb eq,182613.557,m3,159122.706,MJ,BLD_00052,window_upgrade
steel,200.0,kg,EPD-8944-STE,Steel Corp 62,Asia,1582,342.93,102.88,34.29,205.76,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-160.98,7850,92.2,57,19.97274031669636,12.567960409764433,EN 15804,2023-01-01,2028-01-01,326.459,kg CFC-11 eq,231.171,kg SO2 eq,1991.068,kg PO4 eq,1941.379,kg C2H4 eq,1976.67,kg Sb eq,3.0,m3,407.125,MJ,BLD_00074,heat_pump
aluminum,50.0,kg,EPD-4449-ALU,Aluminum Corp 36,Europe,431,505.41,151.62,50.54,303.25,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-243.71,2700,95.7,47,19.493135491751335,42.773840746026856,EN 15804,2023-01-01,2028-01-01,21.783,kg CFC-11 eq,148.761,kg SO2 eq,34.42,kg PO4 eq,241.508,kg C2H4 eq,108.267,kg Sb eq,238.754,m3,471.483,MJ,BLD_00074,heat_pump
insulation_mineral_wool,129481.15499999998,kg,EPD-8038-INS,Insulation_mineral_wool Corp 31,Asia,530,132844.93,39853.48,13284.49,79706.96,6474.06,2589.62,129.481,1294.81,3884.43,2589.62,6474.06,-41125.61,100,68.5,47,13.28083241388412,27.776639499761597,ISO 14025,2023-01-01,2028-01-01,1214540.485,kg CFC-11 eq,271570.127,kg SO2 eq,1237895.307,kg PO4 eq,206262.94,kg C2H4 eq,1284754.055,kg Sb eq,687516.366,m3,1186134.046,MJ,BLD_00074,roof_insulation
glass,258962.30999999997,kg,EPD-8537-GLA,Glass Corp 47,North America,1447,226767.05,68030.11,22676.7,136060.23,12948.12,5179.25,258.962,2589.62,7768.87,5179.25,12948.12,-112576.8,2500,98.9,35,19.386853935578145,47.20935084907934,EN 15804,2023-01-01,2028-01-01,2453660.34,kg CFC-11 eq,1365891.166,kg SO2 eq,728065.291,kg PO4 eq,2558052.563,kg C2H4 eq,1983323.249,kg Sb eq,2276329.896,m3,1883331.017,MJ,BLD_00074,window_upgrade
aluminum,69056.616,kg,EPD-6679-ALU,Aluminum Corp 98,Europe,1130,706248.39,211874.52,70624.84,423749.03,3452.83,1381.13,69.057,690.57,2071.7,1381.13,3452.83,-337630.27,2700,95.5,59,12.407095770577898,9.06720070591635,EN 15804,2023-01-01,2028-01-01,343153.499,kg CFC-11 eq,613779.628,kg SO2 eq,386914.532,kg PO4 eq,197024.429,kg C2H4 eq,538660.821,kg Sb eq,1429.393,m3,176237.295,MJ,BLD_00074,window_upgrade
glass,6921.030000000001,kg,EPD-9487-GLA,Glass Corp 22,Asia,1095,6312.19,1893.66,631.22,3787.31,346.05,138.42,6.921,69.21,207.63,138.42,346.05,-3075.79,2500,95.5,45,18.240392684236497,30.747062363393994,EN 15804,2023-01-01,2028-01-01,63754.772,kg CFC-11 eq,62184.43,kg SO2 eq,42366.34,kg PO4 eq,15945.451,kg C2H4 eq,48306.625,kg Sb eq,63292.97,m3,28889.659,MJ,BLD_00097,solar_panels
aluminum,4614.02,kg,EPD-8159-ALU,Aluminum Corp 23,Local,114,52912.91,15873.87,5291.29,31747.74,230.7,92.28,4.614,46.14,138.42,92.28,230.7,-25970.67,2700,99.7,59,16.979970698678613,47.2736182252854,ISO 14025,2023-01-01,2028-01-01,38958.133,kg CFC-11 eq,27601.898,kg SO2 eq,41845.717,kg PO4 eq,29411.452,kg C2H4 eq,11858.884,kg Sb eq,32979.666,m3,5675.652,MJ,BLD_00097,solar_panels
steel,2307.01,kg,EPD-6368-STE,Steel Corp 33,North America,1356,4417.99,1325.4,441.8,2650.79,115.35,46.14,2.307,23.07,69.21,46.14,115.35,-2043.55,7850,91.3,69,18.185734064435255,17.208621080135632,ISO 14025,2023-01-01,2028-01-01,16540.487,kg CFC-11 eq,2723.149,kg SO2 eq,15869.144,kg PO4 eq,20767.772,kg C2H4 eq,10386.234,kg Sb eq,7949.319,m3,5875.182,MJ,BLD_00097,solar_panels
steel,200.0,kg,EPD-4471-STE,Steel Corp 82,Asia,1117,393.12,117.94,39.31,235.87,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-185.84,7850,92.3,63,2.9204356576924884,39.14950183661679,EN 15804,2023-01-01,2028-01-01,1611.647,kg CFC-11 eq,1535.021,kg SO2 eq,852.5,kg PO4 eq,640.826,kg C2H4 eq,1512.369,kg Sb eq,1068.59,m3,579.062,MJ,BLD_00097,heat_pump
aluminum,50.0,kg,EPD-5999-ALU,Aluminum Corp 99,North America,927,499.92,149.98,49.99,299.95,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-246.07,2700,96.7,48,12.95280040183707,9.455237124946697,ISO 21930,2023-01-01,2028-01-01,15.034,kg CFC-11 eq,13.957,kg SO2 eq,321.6,kg PO4 eq,424.895,kg C2H4 eq,116.84,kg Sb eq,207.858,m3,378.403,MJ,BLD_00097,heat_pump
insulation_mineral_wool,10381.545000000002,kg,EPD-5815-INS,Insulation_mineral_wool Corp 46,Asia,1184,15014.23,4504.27,1501.42,9008.54,519.08,207.63,10.382,103.82,311.45,207.63,519.08,-5240.07,100,53.4,36,2.7290061086744144,12.441885212681248,ISO 14025,2023-01-01,2028-01-01,75083.906,kg CFC-11 eq,22669.47,kg SO2 eq,40238.583,kg PO4 eq,53433.305,kg C2H4 eq,16808.909,kg Sb eq,13756.163,m3,79042.082,MJ,BLD_00097,roof_insulation
glass,20763.090000000004,kg,EPD-7805-GLA,Glass Corp 47,Local,1423,21582.57,6474.77,2158.26,12949.54,1038.15,415.26,20.763,207.63,622.89,415.26,1038.15,-10109.91,2500,96.0,50,2.975179801067558,0.26486179724123926,EN 15804,2023-01-01,2028-01-01,174674.805,kg CFC-11 eq,127640.536,kg SO2 eq,150.341,kg PO4 eq,41907.078,kg C2H4 eq,168072.121,kg Sb eq,96906.762,m3,82371.216,MJ,BLD_00097,window_upgrade
aluminum,5536.8240000000005,kg,EPD-2277-ALU,Aluminum Corp 47,Local,1036,61842.73,18552.82,6184.27,37105.64,276.84,110.74,5.537,55.37,166.1,110.74,276.84,-30876.25,2700,95.5,49,17.53296540515809,5.7599942853154396,EN 15804,2023-01-01,2028-01-01,19718.596,kg CFC-11 eq,42746.157,kg SO2 eq,5977.293,kg PO4 eq,21064.784,kg C2H4 eq,8513.583,kg Sb eq,3827.805,m3,13473.816,MJ,BLD_00097,window_upgrade
glass,129429.53999999998,kg,EPD-2417-GLA,Glass Corp 44,Local,1236,109980.5,32994.15,10998.05,65988.3,6471.48,2588.59,129.43,1294.3,3882.89,2588.59,6471.48,-51190.57,2500,92.2,45,17.718112550324026,23.77985085171335,ISO 14025,2023-01-01,2028-01-01,1206036.943,kg CFC-11 eq,298956.665,kg SO2 eq,1230773.665,kg PO4 eq,1144172.853,kg C2H4 eq,279246.08,kg Sb eq,1159748.856,m3,865944.727,MJ,BLD_00090,window_upgrade
aluminum,34514.543999999994,kg,EPD-2373-ALU,Aluminum Corp 8,North America,1654,370114.11,111034.23,37011.41,222068.46,1725.73,690.29,34.515,345.15,1035.44,690.29,1725.73,-183399.8,2700,97.7,45,6.615928774061619,7.952463150614691,ISO 14025,2023-01-01,2028-01-01,73489.954,kg CFC-11 eq,146524.678,kg SO2 eq,96855.139,kg PO4 eq,232391.844,kg C2H4 eq,69753.971,kg Sb eq,43028.241,m3,28455.835,MJ,BLD_00090,window_upgrade
insulation_mineral_wool,64714.76999999999,kg,EPD-3313-INS,Insulation_mineral_wool Corp 71,Local,1403,69704.52,20911.36,6970.45,41822.71,3235.74,1294.3,64.715,647.15,1941.44,1294.3,3235.74,-21145.1,100,64.4,45,11.167104287931224,7.658500845224436,ISO 21930,2023-01-01,2028-01-01,305528.999,kg CFC-11 eq,213891.592,kg SO2 eq,203522.16,kg PO4 eq,256928.725,kg C2H4 eq,284576.084,kg Sb eq,88511.333,m3,448473.414,MJ,BLD_00090,roof_insulation
glass,48244.95,kg,EPD-6514-GLA,Glass Corp 3,Local,1522,42201.58,12660.47,4220.16,25320.95,2412.25,964.9,48.245,482.45,1447.35,964.9,2412.25,-21076.54,2500,94.3,31,18.726864067696596,28.778952226317116,ISO 21930,2023-01-01,2028-01-01,172294.123,kg CFC-11 eq,248753.875,kg SO2 eq,174177.134,kg PO4 eq,71394.261,kg C2H4 eq,39502.086,kg Sb eq,22797.197,m3,247446.742,MJ,BLD_00019,solar_panels
aluminum,32163.3,kg,EPD-6671-ALU,Aluminum Corp 95,Asia,328,310022.93,93006.88,31002.29,186013.76,1608.16,643.27,32.163,321.63,964.9,643.27,1608.16,-150248.67,2700,99.9,55,5.422864685303958,5.3647609980811755,ISO 21930,2023-01-01,2028-01-01,83523.389,kg CFC-11 eq,58098.446,kg SO2 eq,87491.296,kg PO4 eq,216900.084,kg C2H4 eq,269474.97,kg Sb eq,62877.442,m3,140216.426,MJ,BLD_00019,solar_panels
steel,16081.65,kg,EPD-4446-STE,Steel Corp 41,Local,152,28682.16,8604.65,2868.22,17209.3,804.08,321.63,16.082,160.82,482.45,321.63,804.08,-12912.08,7850,94.4,85,13.201748980045085,7.769079136747859,ISO 21930,2023-01-01,2028-01-01,78521.795,kg CFC-11 eq,62312.793,kg SO2 eq,34853.916,kg PO4 eq,142706.52,kg C2H4 eq,19579.817,kg Sb eq,34659.82,m3,108873.179,MJ,BLD_00019,solar_panels
insulation_polyurethane,120612.375,kg,EPD-3377-INS,Insulation_polyurethane Corp 62,Europe,1209,514147.55,154244.26,51414.75,308488.53,6030.62,2412.25,120.612,1206.12,3618.37,2412.25,6030.62,-30596.41,30,21.8,32,11.18063700810204,42.80005622870651,ISO 21930,2023-01-01,2028-01-01,644414.849,kg CFC-11 eq,1055658.115,kg SO2 eq,155077.853,kg PO4 eq,498509.47,kg C2H4 eq,3289.768,kg Sb eq,1022386.068,m3,1151966.575,MJ,BLD_00019,wall_insulation
aluminum,8040.825,kg,EPD-6931-ALU,Aluminum Corp 59,Local,1574,79294.0,23788.2,7929.4,47576.4,402.04,160.82,8.041,80.41,241.22,160.82,402.04,-37680.44,2700,97.6,56,8.620816277383849,21.976805733022996,ISO 14025,2023-01-01,2028-01-01,60257.945,kg CFC-11 eq,10142.747,kg SO2 eq,10546.943,kg PO4 eq,48011.89,kg C2H4 eq,6955.94,kg Sb eq,10348.235,m3,41678.095,MJ,BLD_00019,wall_insulation
glass,42853.05,kg,EPD-7850-GLA,Glass Corp 80,Local,1462,39822.77,11946.83,3982.28,23893.66,2142.65,857.06,42.853,428.53,1285.59,857.06,2142.65,-19403.82,2500,95.5,38,5.863108706372873,44.22928560225605,EN 15804,2023-01-01,2028-01-01,97907.452,kg CFC-11 eq,37187.308,kg SO2 eq,145470.575,kg PO4 eq,102142.167,kg C2H4 eq,343530.032,kg Sb eq,358182.048,m3,395165.921,MJ,BLD_00030,solar_panels
aluminum,28568.700000000004,kg,EPD-5078-ALU,Aluminum Corp 34,Europe,102,317318.72,95195.62,31731.87,190391.23,1428.44,571.37,28.569,285.69,857.06,571.37,1428.44,-154089.44,2700,98.9,44,12.217543084969204,36.24739608819431,ISO 21930,2023-01-01,2028-01-01,269775.2,kg CFC-11 eq,120440.285,kg SO2 eq,109259.065,kg PO4 eq,120504.622,kg C2H4 eq,44852.848,kg Sb eq,203714.375,m3,12177.63,MJ,BLD_00030,solar_panels
steel,14284.350000000002,kg,EPD-9172-STE,Steel Corp 81,Europe,1825,27440.18,8232.05,2744.02,16464.11,714.22,285.69,14.284,142.84,428.53,285.69,714.22,-12510.19,7850,93.0,63,19.57920765517003,22.030004432409665,ISO 21930,2023-01-01,2028-01-01,69563.783,kg CFC-11 eq,36556.908,kg SO2 eq,120973.577,kg PO4 eq,4781.202,kg C2H4 eq,105041.446,kg Sb eq,141675.719,m3,79804.149,MJ,BLD_00030,solar_panels
glass,128559.15000000001,kg,EPD-8686-GLA,Glass Corp 16,Europe,1114,113284.92,33985.48,11328.49,67970.95,6427.96,2571.18,128.559,1285.59,3856.77,2571.18,6427.96,-52031.82,2500,97.0,30,4.356715928206933,45.85570540822584,ISO 14025,2023-01-01,2028-01-01,45218.45,kg CFC-11 eq,945858.907,kg SO2 eq,431099.84,kg PO4 eq,971003.482,kg C2H4 eq,235490.447,kg Sb eq,946203.092,m3,145726.264,MJ,BLD_00030,window_upgrade
aluminum,34282.44,kg,EPD-4245-ALU,Aluminum Corp 88,Asia,1720,395313.64,118594.09,39531.36,237188.19,1714.12,685.65,34.282,342.82,1028.47,685.65,1714.12,-197257.32,2700,95.3,42,13.28623756926727,21.85713514588081,ISO 14025,2023-01-01,2028-01-01,96483.727,kg CFC-11 eq,149329.758,kg SO2 eq,123292.822,kg PO4 eq,288845.483,kg C2H4 eq,171947.017,kg Sb eq,91458.504,m3,174420.385,MJ,BLD_00030,window_upgrade
insulation_polyurethane,107132.625,kg,EPD-8651-INS,Insulation_polyurethane Corp 68,North America,766,430289.89,129086.97,43028.99,258173.93,5356.63,2142.65,107.133,1071.33,3213.98,2142.65,5356.63,-58242.02,30,22.5,40,12.384367247292404,43.96902820301023,ISO 14025,2023-01-01,2028-01-01,750539.573,kg CFC-11 eq,511118.611,kg SO2 eq,106011.589,kg PO4 eq,936123.671,kg C2H4 eq,92781.069,kg Sb eq,982815.164,m3,644527.166,MJ,BLD_00030,wall_insulation
aluminum,7142.175,kg,EPD-2098-ALU,Aluminum Corp 83,Europe,1956,65528.27,19658.48,6552.83,39316.96,357.11,142.84,7.142,71.42,214.27,142.84,357.11,-31741.2,2700,98.5,45,15.99836710472436,31.930852203724356,ISO 21930,2023-01-01,2028-01-01,57354.052,kg CFC-11 eq,6887.481,kg SO2 eq,38489.834,kg PO4 eq,46373.847,kg C2H4 eq,61118.346,kg Sb eq,55796.183,m3,65124.5,MJ,BLD_00030,wall_insulation
insulation_mineral_wool,64279.575000000004,kg,EPD-9080-INS,Insulation_mineral_wool Corp 86,Local,853,94756.29,28426.89,9475.63,56853.78,3213.98,1285.59,64.28,642.8,1928.39,1285.59,3213.98,-28618.53,100,58.5,49,11.426036734156906,15.083511973209879,EN 15804,2023-01-01,2028-01-01,13418.453,kg CFC-11 eq,120385.733,kg SO2 eq,247647.399,kg PO4 eq,520826.105,kg C2H4 eq,38870.212,kg Sb eq,146758.467,m3,31946.21,MJ,BLD_00030,roof_insulation
insulation_mineral_wool,87451.60499999998,kg,EPD-8684-INS,Insulation_mineral_wool Corp 78,North America,1540,121717.95,36515.39,12171.8,73030.77,4372.58,1749.03,87.452,874.52,2623.55,1749.03,4372.58,-32147.05,100,68.9,49,3.5531073955515224,1.7531491129275822,EN 15804,2023-01-01,2028-01-01,432895.692,kg CFC-11 eq,433523.48,kg SO2 eq,233991.106,kg PO4 eq,670712.363,kg C2H4 eq,70754.607,kg Sb eq,297906.172,m3,75990.893,MJ,BLD_00067,roof_insulation
insulation_polyurethane,145752.675,kg,EPD-6522-INS,Insulation_polyurethane Corp 3,Local,1450,577222.49,173166.75,57722.25,346333.49,7287.63,2915.05,145.753,1457.53,4372.58,2915.05,7287.63,-61614.55,30,14.7,32,2.8754252603440245,34.37138090296366,ISO 21930,2023-01-01,2028-01-01,1262728.941,kg CFC-11 eq,1361017.758,kg SO2 eq,855249.924,kg PO4 eq,1190026.276,kg C2H4 eq,907043.871,kg Sb eq,611790.896,m3,938463.042,MJ,BLD_00067,wall_insulation
aluminum,9716.845,kg,EPD-2508-ALU,Aluminum Corp 79,Local,853,102343.33,30703.0,10234.33,61406.0,485.84,194.34,9.717,97.17,291.51,194.34,485.84,-49052.39,2700,95.5,51,9.684715874718862,49.45383236710451,ISO 14025,2023-01-01,2028-01-01,89979.61,kg CFC-11 eq,51624.468,kg SO2 eq,66971.025,kg PO4 eq,75681.386,kg C2H4 eq,42353.315,kg Sb eq,81222.367,m3,89694.229,MJ,BLD_00067,wall_insulation
steel,200.0,kg,EPD-9380-STE,Steel Corp 48,Local,997,342.84,102.85,34.28,205.7,10.0,4.0,0.2,2.0,6.0,4.0,10.0,-155.1,7850,94.4,79,2.459563639452378,3.2917237189494575,ISO 21930,2023-01-01,2028-01-01,1141.471,kg CFC-11 eq,389.94,kg SO2 eq,1388.219,kg PO4 eq,1743.517,kg C2H4 eq,1575.463,kg Sb eq,985.309,m3,1442.626,MJ,BLD_00067,heat_pump
aluminum,50.0,kg,EPD-9019-ALU,Aluminum Corp 82,Europe,52,495.66,148.7,49.57,297.39,2.5,1.0,0.05,0.5,1.5,1.0,2.5,-237.01,2700,98.2,58,17.23616323231063,38.74346023828766,ISO 21930,2023-01-01,2028-01-01,138.324,kg CFC-11 eq,168.417,kg SO2 eq,221.227,kg PO4 eq,495.21,kg C2H4 eq,145.11,kg Sb eq,97.977,m3,349.698,MJ,BLD_00067,heat_pump
