material_type,quantity,unit,epd_number,manufacturer,production_location,transport_distance_km,a1_a3_embodied_carbon_kg_co2,a1_raw_material_kg_co2,a2_transport_kg_co2,a3_manufacturing_kg_co2,a4_transport_to_site_kg_co2,a5_installation_kg_co2,b1_b7_use_stage_kg_co2_per_year,c1_deconstruction_kg_co2,c2_transport_eol_kg_co2,c3_waste_processing_kg_co2,c4_disposal_kg_co2,d_recycling_potential_kg_co2,density_kg_m3,recyclability_pct,expected_lifespan_years,renewable_content_pct,recycled_content_pct,certification_standard,valid_from,valid_until,ozone_depletion_potential_value,ozone_depletion_potential_unit,acidification_potential_value,acidification_potential_unit,eutrophication_potential_value,eutrophication_potential_unit,photochemical_oxidation_potential_value,photochemical_oxidation_potential_unit,abiotic_depletion_potential_value,abiotic_depletion_potential_unit,water_consumption_value,water_consumption_unit,primary_energy_demand_value,primary_energy_demand_unit,building_id,component
insulation_mineral_wool,206365.91999999998,kg,EPD-3454-INS,Insulation_mineral_wool Corp 79,North America,944,282162.5,84648.75,28216.25,169297.5,10318.3,4127.32,206.366,2063.66,6190.98,4127.32,10318.3,-82271.34,100,51.3,38,10.16609160318512,38.46716463367273,ISO 21930,2023-01-01,2028-01-01,322476.455,kg CFC-11 eq,1443430.232,kg SO2 eq,1346708.645,kg PO4 eq,859669.819,kg C2H4 eq,1126091.533,kg Sb eq,155173.923,m3,1088568.706,MJ,BLD_00060,insulation
glass,154774.43999999997,kg,EPD-6925-GLA,Glass Corp 96,Local,1020,166870.81,50061.24,16687.08,100122.49,7738.72,3095.49,154.774,1547.74,4643.23,3095.49,7738.72,-76785.32,2500,97.6,32,5.208645741701892,45.62062076889541,EN 15804,2023-01-01,2028-01-01,123859.454,kg CFC-11 eq,1036522.727,kg SO2 eq,1185401.363,kg PO4 eq,921629.683,kg C2H4 eq,474498.172,kg Sb eq,1390113.21,m3,93167.742,MJ,BLD_00060,windows
aluminum,38693.60999999999,kg,EPD-3540-ALU,Aluminum Corp 42,Local,1435,437269.82,131180.95,43726.98,262361.89,1934.68,773.87,38.694,386.94,1160.81,773.87,1934.68,-213286.59,2700,96.0,50,18.54435035593959,32.73877126009149,ISO 14025,2023-01-01,2028-01-01,320764.035,kg CFC-11 eq,172615.723,kg SO2 eq,96504.268,kg PO4 eq,312322.475,kg C2H4 eq,215469.371,kg Sb eq,184792.516,m3,147974.225,MJ,BLD_00060,window_frames
steel,480845.5,kg,EPD-3196-STE,Steel Corp 29,North America,1972,846628.4,253988.52,84662.84,507977.04,24042.28,9616.91,480.846,4808.46,14425.36,9616.91,24042.28,-402094.04,7850,93.8,68,6.891006397378378,44.29740652191052,ISO 14025,2023-01-01,2028-01-01,1310526.314,kg CFC-11 eq,4222175.615,kg SO2 eq,3748457.329,kg PO4 eq,2556667.263,kg C2H4 eq,3759421.274,kg Sb eq,2010659.645,m3,1712183.128,MJ,BLD_00032,structure
brick,1442536.5,kg,EPD-8070-BRI,Brick Corp 44,Asia,1217,405792.06,121737.62,40579.21,243475.23,72126.82,28850.73,1442.536,14425.36,43276.1,28850.73,72126.82,-166836.37,1900,86.7,130,7.238900719358514,8.937274833871161,ISO 14025,2023-01-01,2028-01-01,10986970.885,kg CFC-11 eq,4919763.698,kg SO2 eq,11900074.115,kg PO4 eq,200166.477,kg C2H4 eq,11238531.934,kg Sb eq,8426521.81,m3,13973092.006,MJ,BLD_00032,facade
insulation_mineral_wool,144253.65,kg,EPD-5043-INS,Insulation_mineral_wool Corp 78,Local,789,198780.52,59634.16,19878.05,119268.31,7212.68,2885.07,144.254,1442.54,4327.61,2885.07,7212.68,-62023.0,100,56.6,42,13.134050860762398,31.419001124464724,EN 15804,2023-01-01,2028-01-01,261391.863,kg CFC-11 eq,70820.765,kg SO2 eq,834336.569,kg PO4 eq,631880.332,kg C2H4 eq,478479.919,kg Sb eq,1277279.23,m3,713876.365,MJ,BLD_00032,insulation
glass,86552.18999999999,kg,EPD-9262-GLA,Glass Corp 91,Asia,1299,83011.15,24903.35,8301.12,49806.69,4327.61,1731.04,86.552,865.52,2596.57,1731.04,4327.61,-40100.9,2500,97.7,30,1.361244163642299,28.109752285687335,ISO 21930,2023-01-01,2028-01-01,405499.75,kg CFC-11 eq,668626.623,kg SO2 eq,756291.617,kg PO4 eq,142272.218,kg C2H4 eq,386260.847,kg Sb eq,235906.281,m3,207722.404,MJ,BLD_00032,windows
aluminum,21638.047499999997,kg,EPD-3404-ALU,Aluminum Corp 67,Local,178,219857.6,65957.28,21985.76,131914.56,1081.9,432.76,21.638,216.38,649.14,432.76,1081.9,-109111.42,2700,96.8,56,4.666869680794978,32.57190956637378,ISO 21930,2023-01-01,2028-01-01,168395.9,kg CFC-11 eq,48622.891,kg SO2 eq,28444.03,kg PO4 eq,126150.419,kg C2H4 eq,149122.392,kg Sb eq,100865.413,m3,155102.895,MJ,BLD_00032,window_frames
concrete,7021.805,m3,EPD-7409-CON,Concrete Corp 39,North America,549,1698.62,509.59,169.86,1019.17,351.09,140.44,7.022,70.22,210.65,140.44,351.09,-263.89,2400,23.9,68,3.2270455880135684,16.119692097499755,EN 15804,2023-01-01,2028-01-01,60053.967,kg CFC-11 eq,67479.357,kg SO2 eq,17191.287,kg PO4 eq,48756.966,kg C2H4 eq,51801.943,kg Sb eq,50868.645,m3,12276.508,MJ,BLD_00069,structure
brick,2106541.5,kg,EPD-1541-BRI,Brick Corp 13,Asia,740,575669.49,172700.85,57566.95,345401.69,105327.08,42130.83,2106.542,21065.42,63196.24,42130.83,105327.08,-257552.9,1900,87.0,128,6.550113077352395,42.79115594765688,EN 15804,2023-01-01,2028-01-01,6156029.083,kg CFC-11 eq,12402533.868,kg SO2 eq,12750963.439,kg PO4 eq,17886114.913,kg C2H4 eq,16072150.501,kg Sb eq,15937573.399,m3,9926571.241,MJ,BLD_00069,facade
insulation_mineral_wool,168523.32,kg,EPD-8865-INS,Insulation_mineral_wool Corp 1,North America,927,188111.85,56433.56,18811.19,112867.11,8426.17,3370.47,168.523,1685.23,5055.7,3370.47,8426.17,-57051.67,100,64.5,41,11.037173598435029,9.330521911797202,EN 15804,2023-01-01,2028-01-01,1514975.563,kg CFC-11 eq,1350903.439,kg SO2 eq,364689.901,kg PO4 eq,516719.871,kg C2H4 eq,654464.32,kg Sb eq,1541039.809,m3,325206.781,MJ,BLD_00069,insulation
glass,126392.48999999999,kg,EPD-8714-GLA,Glass Corp 79,Asia,944,121137.14,36341.14,12113.71,72682.28,6319.62,2527.85,126.392,1263.92,3791.77,2527.85,6319.62,-57543.49,2500,92.4,50,17.034402613699402,15.014997118327866,ISO 21930,2023-01-01,2028-01-01,394220.072,kg CFC-11 eq,391093.526,kg SO2 eq,732505.39,kg PO4 eq,1107650.598,kg C2H4 eq,38370.325,kg Sb eq,510379.668,m3,1206580.783,MJ,BLD_00069,windows
aluminum,31598.122499999998,kg,EPD-7758-ALU,Aluminum Corp 58,Asia,1206,347780.46,104334.14,34778.05,208668.28,1579.91,631.96,31.598,315.98,947.94,631.96,1579.91,-166409.62,2700,95.1,40,5.495077392548908,43.37742067584765,ISO 21930,2023-01-01,2028-01-01,93065.062,kg CFC-11 eq,194641.384,kg SO2 eq,272938.357,kg PO4 eq,238991.586,kg C2H4 eq,28305.571,kg Sb eq,262108.895,m3,84163.569,MJ,BLD_00069,window_frames
concrete,2041.816,m3,EPD-1447-CON,Concrete Corp 10,Local,1738,776.32,232.89,77.63,465.79,102.09,40.84,2.042,20.42,61.25,40.84,102.09,-117.99,2400,22.1,55,6.806553437388915,49.10732314891514,ISO 21930,2023-01-01,2028-01-01,4424.391,kg CFC-11 eq,15148.117,kg SO2 eq,368.436,kg PO4 eq,7861.018,kg C2H4 eq,4292.144,kg Sb eq,6112.887,m3,12897.477,MJ,BLD_00006,structure
glass,191420.25,kg,EPD-5370-GLA,Glass Corp 78,Local,475,228406.24,68521.87,22840.62,137043.74,9571.01,3828.4,191.42,1914.2,5742.61,3828.4,9571.01,-104222.9,2500,90.0,48,8.28106284638823,47.29603682329458,ISO 14025,2023-01-01,2028-01-01,376040.07,kg CFC-11 eq,385637.365,kg SO2 eq,1207303.903,kg PO4 eq,1865524.995,kg C2H4 eq,55464.37,kg Sb eq,421964.691,m3,1520617.831,MJ,BLD_00006,facade
insulation_mineral_wool,61254.479999999996,kg,EPD-8078-INS,Insulation_mineral_wool Corp 96,Asia,1948,71786.82,21536.05,7178.68,43072.09,3062.72,1225.09,61.254,612.54,1837.63,1225.09,3062.72,-20159.64,100,69.8,47,10.935793033554388,42.92294217706671,ISO 21930,2023-01-01,2028-01-01,591859.976,kg CFC-11 eq,502384.178,kg SO2 eq,330468.265,kg PO4 eq,529332.552,kg C2H4 eq,184027.738,kg Sb eq,365039.367,m3,26469.198,MJ,BLD_00006,insulation
glass,45940.85999999999,kg,EPD-6414-GLA,Glass Corp 42,North America,249,44320.09,13296.03,4432.01,26592.05,2297.04,918.82,45.941,459.41,1378.23,918.82,2297.04,-21457.91,2500,95.7,36,3.2596684571342993,14.14073036297766,ISO 14025,2023-01-01,2028-01-01,409912.033,kg CFC-11 eq,293389.459,kg SO2 eq,206948.573,kg PO4 eq,364233.083,kg C2H4 eq,438004.913,kg Sb eq,132863.843,m3,37006.198,MJ,BLD_00006,windows
aluminum,11485.214999999998,kg,EPD-4356-ALU,Aluminum Corp 48,Asia,1210,121292.85,36387.85,12129.28,72775.71,574.26,229.7,11.485,114.85,344.56,229.7,574.26,-57911.71,2700,95.0,56,12.878933366552626,28.958018896577357,ISO 21930,2023-01-01,2028-01-01,45533.114,kg CFC-11 eq,88340.741,kg SO2 eq,57152.015,kg PO4 eq,78928.883,kg C2H4 eq,71721.746,kg Sb eq,77881.899,m3,41377.859,MJ,BLD_00006,window_frames
timber,7902.564,m3,EPD-9312-TIM,Timber Corp 43,Local,1136,-3779.39,-1133.82,-377.94,-2267.63,395.13,158.05,7.903,79.03,237.08,158.05,395.13,1464.63,500,60.9,74,99.55146401311107,30.30535662935262,EN 15804,2023-01-01,2028-01-01,46618.415,kg CFC-11 eq,2584.91,kg SO2 eq,62659.535,kg PO4 eq,53492.223,kg C2H4 eq,41969.637,kg Sb eq,78005.453,m3,25806.793,MJ,BLD_00009,structure
concrete,7902.564,m3,EPD-9844-CON,Concrete Corp 82,North America,1041,3021.38,906.41,302.14,1812.83,395.13,158.05,7.903,79.03,237.08,158.05,395.13,-457.41,2400,24.0,95,16.37785866268866,27.21652464758067,EN 15804,2023-01-01,2028-01-01,37794.644,kg CFC-11 eq,16939.435,kg SO2 eq,37259.998,kg PO4 eq,59389.608,kg C2H4 eq,12122.877,kg Sb eq,29098.959,m3,43604.562,MJ,BLD_00009,facade
insulation_polyurethane,118538.45999999999,kg,EPD-6011-INS,Insulation_polyurethane Corp 67,North America,470,487185.56,146155.67,48718.56,292311.34,5926.92,2370.77,118.538,1185.38,3556.15,2370.77,5926.92,-58067.89,30,19.1,39,18.94717984664691,3.8820988698978933,EN 15804,2023-01-01,2028-01-01,303867.34,kg CFC-11 eq,26578.948,kg SO2 eq,702371.733,kg PO4 eq,819529.186,kg C2H4 eq,139392.001,kg Sb eq,324558.516,m3,378635.658,MJ,BLD_00009,insulation
glass,237076.91999999998,kg,EPD-2654-GLA,Glass Corp 32,Local,203,260179.96,78053.99,26018.0,156107.98,11853.85,4741.54,237.077,2370.77,7112.31,4741.54,11853.85,-123510.9,2500,90.3,31,19.366826158188253,25.735272399988485,ISO 14025,2023-01-01,2028-01-01,721710.054,kg CFC-11 eq,1557997.544,kg SO2 eq,1715806.465,kg PO4 eq,1827767.346,kg C2H4 eq,1756796.495,kg Sb eq,1616908.677,m3,1577607.806,MJ,BLD_00009,windows
aluminum,59269.229999999996,kg,EPD-2696-ALU,Aluminum Corp 2,North America,1439,594194.51,178258.35,59419.45,356516.71,2963.46,1185.38,59.269,592.69,1778.08,1185.38,2963.46,-287075.55,2700,96.6,47,13.994365717796244,19.259356761763936,ISO 14025,2023-01-01,2028-01-01,498968.783,kg CFC-11 eq,255665.746,kg SO2 eq,160955.394,kg PO4 eq,59937.97,kg C2H4 eq,92084.277,kg Sb eq,569542.861,m3,452315.617,MJ,BLD_00009,window_frames
steel,1167174.0,kg,EPD-9881-STE,Steel Corp 58,Europe,178,2660660.34,798198.1,266066.03,1596396.21,58358.7,23343.48,1167.174,11671.74,35015.22,23343.48,58358.7,-1257921.35,7850,90.3,62,13.226794917762668,6.057870512204944,EN 15804,2023-01-01,2028-01-01,6872473.304,kg CFC-11 eq,1259052.436,kg SO2 eq,9411033.389,kg PO4 eq,1279102.36,kg C2H4 eq,1123262.408,kg Sb eq,9932705.767,m3,6012190.259,MJ,BLD_00080,structure
brick,3501522.0,kg,EPD-5104-BRI,Brick Corp 97,Europe,1276,782303.52,234691.06,78230.35,469382.11,175076.1,70030.44,3501.522,35015.22,105045.66,70030.44,175076.1,-328810.9,1900,83.4,148,2.710490067514846,33.83826889519626,EN 15804,2023-01-01,2028-01-01,4612019.288,kg CFC-11 eq,13586216.687,kg SO2 eq,27588026.297,kg PO4 eq,34883395.904,kg C2H4 eq,19733772.069,kg Sb eq,18077125.181,m3,32104349.827,MJ,BLD_00080,facade
insulation_mineral_wool,350152.2,kg,EPD-1988-INS,Insulation_mineral_wool Corp 1,Europe,181,498147.13,149444.14,49814.71,298888.28,17507.61,7003.04,350.152,3501.52,10504.57,7003.04,17507.61,-132741.12,100,54.1,30,2.451248380506934,22.737829230615393,ISO 14025,2023-01-01,2028-01-01,1180922.189,kg CFC-11 eq,1290936.792,kg SO2 eq,3455820.061,kg PO4 eq,2277874.844,kg C2H4 eq,3171271.55,kg Sb eq,653943.684,m3,1920067.561,MJ,BLD_00080,insulation
glass,210091.32,kg,EPD-4148-GLA,Glass Corp 50,North America,253,222456.03,66736.81,22245.6,133473.62,10504.57,4201.83,210.091,2100.91,6302.74,4201.83,10504.57,-103368.99,2500,93.1,42,17.818572099486914,8.760794178379172,ISO 21930,2023-01-01,2028-01-01,47535.018,kg CFC-11 eq,1022443.547,kg SO2 eq,1391771.608,kg PO4 eq,1351203.628,kg C2H4 eq,659228.743,kg Sb eq,419581.703,m3,1415864.294,MJ,BLD_00080,windows
aluminum,52522.83,kg,EPD-1223-ALU,Aluminum Corp 44,North America,65,600782.93,180234.88,60078.29,360469.76,2626.14,1050.46,52.523,525.23,1575.68,1050.46,2626.14,-294605.34,2700,99.5,48,3.236214149699892,32.05386477287394,ISO 14025,2023-01-01,2028-01-01,285409.265,kg CFC-11 eq,208648.448,kg SO2 eq,174039.006,kg PO4 eq,234048.257,kg C2H4 eq,94082.879,kg Sb eq,13802.561,m3,263625.099,MJ,BLD_00080,window_frames
steel,522128.0,kg,EPD-9489-STE,Steel Corp 58,Asia,769,1122837.3,336851.19,112283.73,673702.38,26106.4,10442.56,522.128,5221.28,15663.84,10442.56,26106.4,-516585.02,7850,93.0,91,15.59551467086675,3.8928061960780527,EN 15804,2023-01-01,2028-01-01,1815235.912,kg CFC-11 eq,4459224.608,kg SO2 eq,3607874.074,kg PO4 eq,4105289.428,kg C2H4 eq,3227416.44,kg Sb eq,1985716.018,m3,876614.328,MJ,BLD_00010,structure
concrete,3132.768,m3,EPD-7600-CON,Concrete Corp 25,Asia,1206,906.77,272.03,90.68,544.06,156.64,62.66,3.133,31.33,93.98,62.66,156.64,-127.93,2400,20.5,52,8.857853429493684,45.53686458839464,ISO 21930,2023-01-01,2028-01-01,27053.973,kg CFC-11 eq,15635.728,kg SO2 eq,1495.067,kg PO4 eq,29723.975,kg C2H4 eq,11158.317,kg Sb eq,5764.735,m3,1424.786,MJ,BLD_00010,facade
insulation_polyurethane,46991.520000000004,kg,EPD-8923-INS,Insulation_polyurethane Corp 2,North America,341,147182.12,44154.63,14718.21,88309.27,2349.58,939.83,46.992,469.92,1409.75,939.83,2349.58,-9251.67,30,24.0,32,4.709392584703305,35.88678311921119,EN 15804,2023-01-01,2028-01-01,98789.603,kg CFC-11 eq,259349.781,kg SO2 eq,379783.849,kg PO4 eq,109160.944,kg C2H4 eq,52493.282,kg Sb eq,420569.295,m3,446416.602,MJ,BLD_00010,insulation
glass,93983.04000000001,kg,EPD-7653-GLA,Glass Corp 95,Local,679,91403.42,27421.03,9140.34,54842.05,4699.15,1879.66,93.983,939.83,2819.49,1879.66,4699.15,-44231.07,2500,99.1,43,11.644296867633404,1.9834173797585064,EN 15804,2023-01-01,2028-01-01,105266.068,kg CFC-11 eq,936082.6,kg SO2 eq,758528.513,kg PO4 eq,545139.809,kg C2H4 eq,843515.207,kg Sb eq,744164.258,m3,110621.783,MJ,BLD_00010,windows
aluminum,23495.760000000002,kg,EPD-8432-ALU,Aluminum Corp 17,Asia,1243,234401.97,70320.59,23440.2,140641.18,1174.79,469.92,23.496,234.96,704.87,469.92,1174.79,-111692.71,2700,96.0,43,6.439324713823593,18.447424819984004,ISO 21930,2023-01-01,2028-01-01,94135.782,kg CFC-11 eq,42707.749,kg SO2 eq,70822.017,kg PO4 eq,49396.021,kg C2H4 eq,204430.764,kg Sb eq,170086.333,m3,71036.471,MJ,BLD_00010,window_frames
steel,529870.0,kg,EPD-9810-STE,Steel Corp 93,North America,1506,1217106.69,365132.01,121710.67,730264.01,26493.5,10597.4,529.87,5298.7,15896.1,10597.4,26493.5,-559148.76,7850,92.9,63,8.91959981161194,40.622211352420464,ISO 14025,2023-01-01,2028-01-01,3428000.614,kg CFC-11 eq,2632739.165,kg SO2 eq,4579744.605,kg PO4 eq,2750871.316,kg C2H4 eq,122197.005,kg Sb eq,3423677.42,m3,2434865.938,MJ,BLD_00068,structure
concrete,3179.22,m3,EPD-9154-CON,Concrete Corp 68,North America,1344,677.48,203.24,67.75,406.49,158.96,63.58,3.179,31.79,95.38,63.58,158.96,-88.53,2400,21.0,59,14.665954036615407,41.26499044166592,ISO 21930,2023-01-01,2028-01-01,19151.034,kg CFC-11 eq,5404.201,kg SO2 eq,9755.112,kg PO4 eq,7345.873,kg C2H4 eq,19311.601,kg Sb eq,6513.884,m3,12390.388,MJ,BLD_00068,facade
insulation_mineral_wool,127168.79999999999,kg,EPD-5695-INS,Insulation_mineral_wool Corp 40,Local,1659,188011.72,56403.52,18801.17,112807.03,6358.44,2543.38,127.169,1271.69,3815.06,2543.38,6358.44,-65771.72,100,59.2,33,10.771321285370812,3.801063227324819,EN 15804,2023-01-01,2028-01-01,669012.407,kg CFC-11 eq,940828.857,kg SO2 eq,911606.351,kg PO4 eq,819751.012,kg C2H4 eq,376225.711,kg Sb eq,566410.559,m3,366531.079,MJ,BLD_00068,insulation
glass,95376.59999999998,kg,EPD-9484-GLA,Glass Corp 95,North America,817,92233.79,27670.14,9223.38,55340.28,4768.83,1907.53,95.377,953.77,2861.3,1907.53,4768.83,-44734.59,2500,94.6,37,13.832245914291194,12.117688224546136,ISO 21930,2023-01-01,2028-01-01,610491.564,kg CFC-11 eq,610970.838,kg SO2 eq,791178.163,kg PO4 eq,861838.936,kg C2H4 eq,99720.491,kg Sb eq,396189.097,m3,311969.284,MJ,BLD_00068,windows
aluminum,23844.149999999994,kg,EPD-4499-ALU,Aluminum Corp 43,North America,1335,217926.01,65377.8,21792.6,130755.61,1192.21,476.88,23.844,238.44,715.32,476.88,1192.21,-107696.2,2700,98.2,50,13.237517392365012,29.858616537143345,ISO 21930,2023-01-01,2028-01-01,192459.556,kg CFC-11 eq,172603.158,kg SO2 eq,143333.872,kg PO4 eq,171483.139,kg C2H4 eq,113542.547,kg Sb eq,105382.896,m3,13178.614,MJ,BLD_00068,window_frames
concrete,3819.8080000000004,m3,EPD-7165-CON,Concrete Corp 61,Asia,1873,1004.64,301.39,100.46,602.79,190.99,76.4,3.82,38.2,114.59,76.4,190.99,-158.39,2400,20.5,83,8.608190171963805,11.717785924902207,ISO 14025,2023-01-01,2028-01-01,25926.733,kg CFC-11 eq,8090.218,kg SO2 eq,34333.337,kg PO4 eq,6856.373,kg C2H4 eq,18918.089,kg Sb eq,1782.955,m3,10955.264,MJ,BLD_00034,structure
concrete,2864.856,m3,EPD-1741-CON,Concrete Corp 59,Local,394,618.05,185.41,61.8,370.83,143.24,57.3,2.865,28.65,85.95,57.3,143.24,-72.06,2400,31.2,66,12.35797806548717,47.46568187976266,ISO 14025,2023-01-01,2028-01-01,26142.812,kg CFC-11 eq,16226.866,kg SO2 eq,21024.387,kg PO4 eq,13941.485,kg C2H4 eq,8395.669,kg Sb eq,15491.34,m3,11387.971,MJ,BLD_00034,facade
insulation_polyurethane,42972.840000000004,kg,EPD-7420-INS,Insulation_polyurethane Corp 89,Local,1417,135969.63,40790.89,13596.96,81581.78,2148.64,859.46,42.973,429.73,1289.19,859.46,2148.64,-18579.68,30,19.0,31,18.111176714697873,38.14899283472417,ISO 21930,2023-01-01,2028-01-01,24646.555,kg CFC-11 eq,44619.178,kg SO2 eq,346596.579,kg PO4 eq,14217.987,kg C2H4 eq,150435.511,kg Sb eq,295240.479,m3,249472.308,MJ,BLD_00034,insulation
glass,85945.68,kg,EPD-9677-GLA,Glass Corp 29,North America,1942,101243.32,30373.0,10124.33,60745.99,4297.28,1718.91,85.946,859.46,2578.37,1718.91,4297.28,-50444.75,2500,91.5,44,9.875935217056497,2.2117977104184505,ISO 14025,2023-01-01,2028-01-01,683833.285,kg CFC-11 eq,689188.457,kg SO2 eq,341662.405,kg PO4 eq,208121.094,kg C2H4 eq,160817.817,kg Sb eq,239493.686,m3,585517.057,MJ,BLD_00034,windows
aluminum,21486.42,kg,EPD-5101-ALU,Aluminum Corp 53,Europe,620,206194.19,61858.26,20619.42,123716.51,1074.32,429.73,21.486,214.86,644.59,429.73,1074.32,-102294.16,2700,99.6,45,8.362415448550898,19.800831274674152,ISO 21930,2023-01-01,2028-01-01,78732.675,kg CFC-11 eq,135579.545,kg SO2 eq,27888.701,kg PO4 eq,125812.104,kg C2H4 eq,42196.681,kg Sb eq,126334.96,m3,100734.486,MJ,BLD_00034,window_frames
steel,307170.5,kg,EPD-5879-STE,Steel Corp 86,Local,208,501386.63,150415.99,50138.66,300831.98,15358.53,6143.41,307.17,3071.7,9215.12,6143.41,15358.53,-234915.47,7850,93.1,97,15.157503490864226,15.593499866716915,ISO 21930,2023-01-01,2028-01-01,1167417.495,kg CFC-11 eq,154987.675,kg SO2 eq,2964674.01,kg PO4 eq,2633376.729,kg C2H4 eq,2033456.485,kg Sb eq,1991972.841,m3,3033826.368,MJ,BLD_00025,structure
concrete,1843.0230000000001,m3,EPD-2352-CON,Concrete Corp 76,Europe,1601,465.75,139.72,46.57,279.45,92.15,36.86,1.843,18.43,55.29,36.86,92.15,-83.66,2400,24.0,79,17.3374548603774,8.347850895652542,ISO 21930,2023-01-01,2028-01-01,7638.16,kg CFC-11 eq,17041.163,kg SO2 eq,606.029,kg PO4 eq,195.552,kg C2H4 eq,5923.231,kg Sb eq,14348.227,m3,15334.172,MJ,BLD_00025,facade
insulation_mineral_wool,73720.92,kg,EPD-8390-INS,Insulation_mineral_wool Corp 24,North America,863,82481.31,24744.39,8248.13,49488.79,3686.05,1474.42,73.721,737.21,2211.63,1474.42,3686.05,-26126.35,100,65.4,42,0.19218851538093773,26.86462691427452,ISO 14025,2023-01-01,2028-01-01,643085.656,kg CFC-11 eq,62683.169,kg SO2 eq,437285.291,kg PO4 eq,671901.852,kg C2H4 eq,236073.48,kg Sb eq,289663.278,m3,173479.665,MJ,BLD_00025,insulation
glass,55290.689999999995,kg,EPD-7623-GLA,Glass Corp 63,Europe,1607,63285.1,18985.53,6328.51,37971.06,2764.53,1105.81,55.291,552.91,1658.72,1105.81,2764.53,-28843.32,2500,98.1,46,6.73570560128296,8.985283727810046,ISO 21930,2023-01-01,2028-01-01,393350.968,kg CFC-11 eq,376844.738,kg SO2 eq,98719.362,kg PO4 eq,534958.525,kg C2H4 eq,42672.371,kg Sb eq,330004.857,m3,522017.737,MJ,BLD_00025,windows
aluminum,13822.672499999999,kg,EPD-3142-ALU,Aluminum Corp 78,Asia,1942,152754.9,45826.47,15275.49,91652.94,691.13,276.45,13.823,138.23,414.68,276.45,691.13,-73888.12,2700,97.7,42,11.039179927569634,16.51745132753371,ISO 14025,2023-01-01,2028-01-01,133616.362,kg CFC-11 eq,53944.665,kg SO2 eq,67725.478,kg PO4 eq,51747.492,kg C2H4 eq,66979.56,kg Sb eq,22099.274,m3,35711.393,MJ,BLD_00025,window_frames
concrete,4255.592,m3,EPD-6964-CON,Concrete Corp 67,Asia,942,1628.82,488.65,162.88,977.29,212.78,85.11,4.256,42.56,127.67,85.11,212.78,-233.39,2400,30.0,85,4.325766151383499,49.854027354304684,ISO 14025,2023-01-01,2028-01-01,2027.836,kg CFC-11 eq,8554.7,kg SO2 eq,34625.279,kg PO4 eq,8277.427,kg C2H4 eq,21756.486,kg Sb eq,16697.468,m3,27044.698,MJ,BLD_00037,structure
concrete,3191.694,m3,EPD-3990-CON,Concrete Corp 50,Local,1119,862.83,258.85,86.28,517.7,159.58,63.83,3.192,31.92,95.75,63.83,159.58,-121.3,2400,32.9,51,10.841886690938512,1.1065075104421174,ISO 21930,2023-01-01,2028-01-01,11784.378,kg CFC-11 eq,10720.949,kg SO2 eq,1623.018,kg PO4 eq,1578.661,kg C2H4 eq,25902.718,kg Sb eq,15464.97,m3,11636.779,MJ,BLD_00037,facade
insulation_mineral_wool,127667.76,kg,EPD-7703-INS,Insulation_mineral_wool Corp 85,Europe,625,166983.88,50095.16,16698.39,100190.33,6383.39,2553.36,127.668,1276.68,3830.03,2553.36,6383.39,-49599.88,100,50.1,34,11.206289386101613,11.743122300052333,EN 15804,2023-01-01,2028-01-01,577829.286,kg CFC-11 eq,111065.338,kg SO2 eq,181304.45,kg PO4 eq,142299.934,kg C2H4 eq,1027056.675,kg Sb eq,368556.404,m3,1052005.241,MJ,BLD_00037,insulation
glass,95750.81999999998,kg,EPD-4730-GLA,Glass Corp 75,Asia,1342,95705.67,28711.7,9570.57,57423.4,4787.54,1915.02,95.751,957.51,2872.52,1915.02,4787.54,-43756.06,2500,94.1,46,12.442032885301337,43.70174131191438,ISO 14025,2023-01-01,2028-01-01,248980.332,kg CFC-11 eq,477553.348,kg SO2 eq,398886.218,kg PO4 eq,838773.462,kg C2H4 eq,584792.382,kg Sb eq,697960.742,m3,728522.974,MJ,BLD_00037,windows
aluminum,23937.704999999994,kg,EPD-9368-ALU,Aluminum Corp 28,Asia,1590,281496.73,84449.02,28149.67,168898.04,1196.89,478.75,23.938,239.38,718.13,478.75,1196.89,-135888.15,2700,98.4,45,15.964110183202555,25.75305740739121,ISO 21930,2023-01-01,2028-01-01,198446.001,kg CFC-11 eq,146431.299,kg SO2 eq,25090.731,kg PO4 eq,217827.921,kg C2H4 eq,99688.123,kg Sb eq,18026.486,m3,119971.104,MJ,BLD_00037,window_frames
concrete,17163.176000000003,m3,EPD-9293-CON,Concrete Corp 97,Europe,1278,5456.26,1636.88,545.63,3273.76,858.16,343.26,17.163,171.63,514.9,343.26,858.16,-837.13,2400,34.5,66,0.38825968280000955,10.392792609007866,ISO 14025,2023-01-01,2028-01-01,124120.053,kg CFC-11 eq,75104.588,kg SO2 eq,170821.21,kg PO4 eq,133479.672,kg C2H4 eq,56519.995,kg Sb eq,21801.379,m3,83053.293,MJ,BLD_00073,structure
brick,6436191.0,kg,EPD-3229-BRI,Brick Corp 50,Local,526,1674885.94,502465.78,167488.59,1004931.57,321809.55,128723.82,6436.191,64361.91,193085.73,128723.82,321809.55,-736720.33,1900,86.9,145,14.121224356349522,8.972454885158276,EN 15804,2023-01-01,2028-01-01,6559037.438,kg CFC-11 eq,20298061.134,kg SO2 eq,22417690.864,kg PO4 eq,9397223.461,kg C2H4 eq,3229977.085,kg Sb eq,6200279.456,m3,39807800.621,MJ,BLD_00073,facade
