firm_code,date,stratum,zone,years_of_operation,num_employees,num_employees_cat,annual_revenue_cat,ownership_type,fdi_partnership,fdi_equity,fdi_joint_venture,fdi_technology_transfer,fdi_management_contract,years_with_fdi,ka1,ka2,ka3,ka4,tp1,tp2,tp3,tp4,rd_intensity_percent,new_products_3yrs,proc_iot,proc_automation,proc_quality_mgmt,proc_other,proc_other_text,skilled_workforce_percent,training_hours_per_employee,modern_equipment,machinery_age_years,access_to_credit,reinvestment_rate_percent,gp_tax_incentives,gp_regulatory_stability,gp_infrastructure_support,gp_ease_permits,avg_roi_percent,avg_roa_percent,export_intensity_percent,capacity_utilization_percent,market_share_lagos_percent
FIRM433,30/05/2025,Large,Oshodi/Isolo,21,383,251-500,500M-5B,Joint venture,1,0,0,0,1,8,3,2,1,1,1,1,1,3,12.0,6,1,0,1,0,,76.5,26,1,1.9,Moderate,35.8,2,6,5,4,40.0,25.0,45.0,77.0,1.6
FIRM434,19/06/2025,Large,Ikeja,23,1453,500+,50M-500M,Local,0,0,0,0,0,0,4,2,1,1,4,4,2,3,8.88,9,1,1,1,0,,53.5,34,1,2.8,Moderate,41.4,5,4,1,3,40.0,25.0,39.31,66.9,1.91
FIRM435,11/10/2025,Large,Ikeja,22,268,251-500,>5B,Foreign-owned,1,1,0,1,0,14,1,5,5,3,4,2,5,4,12.0,3,1,1,0,0,,34.8,32,1,1.0,Moderate,32.7,3,4,4,2,40.0,25.0,45.0,84.8,0.3
FIRM436,17/08/2025,Large,Amuwo-Odofin,27,908,500+,500M-5B,Foreign-owned,1,0,0,1,0,4,4,2,2,4,1,2,3,1,12.0,4,1,0,1,0,,47.9,31,1,5.7,Easy,33.5,7,3,7,7,40.0,25.0,45.0,79.4,1.25
FIRM438,03/10/2025,Large,Ikorodu,22,303,251-500,500M-5B,Joint venture,1,1,0,0,1,4,5,4,5,2,5,4,4,5,12.0,6,0,0,1,0,,58.2,14,0,14.1,Moderate,25.3,2,6,6,3,40.0,25.0,45.0,83.5,1.18
FIRM442,11/05/2025,Large,Ibeju-Lekki,20,361,251-500,500M-5B,Joint venture,1,1,0,1,0,11,1,2,2,5,2,4,5,4,11.61,2,1,1,1,0,,77.1,2,0,9.1,Easy,22.6,4,4,4,4,40.0,25.0,45.0,70.7,1.25
FIRM443,23/06/2025,Large,Apapa,20,299,251-500,50M-500M,Foreign-owned,1,1,0,1,0,15,3,2,5,5,5,4,2,5,12.0,8,1,0,1,0,,65.9,19,1,5.8,Difficult,19.2,1,2,3,3,40.0,25.0,43.25,73.5,1.27
FIRM444,24/07/2025,Large,Apapa,8,251,251-500,>5B,Joint venture,1,0,0,1,0,7,2,5,2,3,5,2,5,2,12.0,4,0,1,1,0,,39.7,36,1,7.1,Easy,15.7,5,3,2,1,40.0,25.0,45.0,72.2,1.18
FIRM446,29/04/2025,Large,Ibeju-Lekki,26,251,251-500,500M-5B,Local,0,0,0,0,0,0,2,4,5,3,1,5,1,3,11.03,2,1,0,1,0,,95.0,41,1,12.3,Difficult,11.1,6,7,4,4,40.0,25.0,40.89,70.5,0.05
FIRM449,16/04/2025,Large,Apapa,18,450,251-500,500M-5B,Joint venture,1,1,1,0,0,4,3,4,3,1,5,3,4,5,11.31,3,0,1,1,0,,59.8,33,0,7.2,Moderate,10.5,4,1,1,1,40.0,25.0,35.52,70.1,0.19
