x_mm,y_mm,z_mm,method,sigma_xx_MPa,sigma_yy_MPa,sigma_zz_MPa,sigma_xy_MPa,sigma_yz_MPa,sigma_xz_MPa
11.251,1.529,0.162,SynchrotronXRD,-111.65,-72.99,-34.28,4.93,3.13,-1.24
11.251,1.529,0.227,SynchrotronXRD,-88.6,-84.92,-32.71,3.25,-4.12,-4.29
11.251,1.529,0.292,SynchrotronXRD,-71.79,-67.19,-22.43,1.6,-2.22,2.91
11.251,1.529,0.357,SynchrotronXRD,-47.58,-44.1,-20.51,-0.14,-3.84,-0.75
11.251,2.548,0.032,SynchrotronXRD,-133.79,-124.93,-65.93,11.7,-2.47,4.63
11.251,2.548,0.097,SynchrotronXRD,-139.72,-114.47,-50.52,-1.71,-2.49,-7.9
11.251,2.548,0.162,SynchrotronXRD,-104.4,-94.07,-47.59,2.57,1.97,-0.91
11.251,2.548,0.227,SynchrotronXRD,-92.79,-68.16,-40.23,-5.67,-4.04,5.6
11.251,2.548,0.292,SynchrotronXRD,-82.83,-68.83,-31.93,1.28,-4.72,2.21
11.251,2.548,0.357,SynchrotronXRD,-64.05,-53.36,-9.68,0.21,4.69,4.71
11.251,3.568,0.032,SynchrotronXRD,-137.21,-130.75,-69.93,1.21,11.74,0.56
11.251,3.568,0.097,SynchrotronXRD,-129.8,-108.6,-42.51,-3.1,-3.95,4.79
11.251,3.568,0.162,SynchrotronXRD,-101.92,-103.28,-29.75,1.52,1.4,-4.45
11.251,3.568,0.227,SynchrotronXRD,-91.34,-81.84,-38.51,-0.98,5.35,7.54
11.251,3.568,0.292,SynchrotronXRD,-66.9,-71.37,-30.5,-1.75,4.53,1.32
11.251,3.568,0.357,SynchrotronXRD,-67.82,-45.9,-27.67,-1.15,-0.67,-3.33
11.251,4.587,0.032,SynchrotronXRD,-141.43,-105.07,-55.52,-10.35,-2.23,-10.65
11.251,4.587,0.097,SynchrotronXRD,-125.54,-110.79,-52.62,-5.58,-12.02,-4.0
11.251,4.587,0.162,SynchrotronXRD,-105.81,-95.96,-41.66,4.67,4.02,-2.38
11.251,4.587,0.227,SynchrotronXRD,-105.96,-76.39,-30.96,-3.03,-5.2,5.75
11.251,4.587,0.292,SynchrotronXRD,-79.98,-69.79,-32.06,1.51,-5.67,1.31
11.251,4.587,0.357,SynchrotronXRD,-45.02,-53.1,-26.1,0.29,-5.6,5.04
11.251,5.606,0.032,SynchrotronXRD,-155.4,-100.69,-58.6,-5.44,-7.3,7.13
11.251,5.606,0.097,SynchrotronXRD,-148.71,-130.1,-51.82,-5.6,2.06,-3.33
11.251,5.606,0.162,SynchrotronXRD,-109.57,-93.34,-43.29,3.27,-6.79,1.74
11.251,5.606,0.227,SynchrotronXRD,-96.78,-85.55,-32.37,1.98,2.52,1.43
11.251,5.606,0.292,SynchrotronXRD,-63.24,-70.72,-36.99,-0.19,-2.91,-2.94
11.251,5.606,0.357,SynchrotronXRD,-63.83,-42.87,-18.59,-0.76,-1.39,-2.07
11.251,6.625,0.032,SynchrotronXRD,-151.64,-126.47,-46.05,3.82,2.38,-1.53
11.251,6.625,0.097,SynchrotronXRD,-118.87,-108.65,-61.48,-10.54,2.59,-1.55
11.251,6.625,0.162,SynchrotronXRD,-95.2,-77.28,-43.87,3.93,1.56,1.79
11.251,6.625,0.227,SynchrotronXRD,-89.38,-68.12,-38.16,-1.88,-3.41,6.08
11.251,6.625,0.292,SynchrotronXRD,-69.78,-58.38,-21.79,1.6,1.9,0.29
11.251,6.625,0.357,SynchrotronXRD,-42.26,-49.94,-21.93,-0.38,-3.05,1.66
11.251,7.645,0.032,SynchrotronXRD,-157.13,-115.06,-54.75,4.61,10.05,-1.27
11.251,7.645,0.097,SynchrotronXRD,-119.49,-117.6,-48.31,-1.91,-13.29,0.21
11.251,7.645,0.162,SynchrotronXRD,-119.81,-74.89,-37.57,5.95,-1.15,3.55
11.251,7.645,0.227,SynchrotronXRD,-79.19,-82.52,-29.63,0.48,-0.18,-5.5
11.251,7.645,0.292,SynchrotronXRD,-82.7,-66.28,-19.93,0.44,-0.54,-2.28
11.251,7.645,0.357,SynchrotronXRD,-74.32,-39.63,-44.44,-0.42,2.95,-2.86
11.251,8.664,0.032,SynchrotronXRD,-127.57,-118.28,-59.8,9.03,1.05,3.36
11.251,8.664,0.097,SynchrotronXRD,-117.06,-130.5,-52.22,2.54,6.33,2.16
11.251,8.664,0.162,SynchrotronXRD,-110.14,-103.12,-37.9,-7.74,0.09,-1.38
11.251,8.664,0.227,SynchrotronXRD,-94.68,-78.72,-32.97,-2.95,-0.11,0.42
11.251,8.664,0.292,SynchrotronXRD,-81.0,-59.51,-22.32,1.18,-3.96,2.84
11.251,8.664,0.357,SynchrotronXRD,-45.21,-47.9,-16.44,0.41,4.07,2.18
11.251,9.683,0.032,SynchrotronXRD,-171.29,-118.82,-63.87,3.55,0.99,-3.47
11.251,9.683,0.097,SynchrotronXRD,-125.09,-109.88,-44.85,2.79,-3.15,-6.88
11.251,9.683,0.162,SynchrotronXRD,-119.8,-112.71,-52.28,5.16,1.15,0.63
11.251,9.683,0.227,SynchrotronXRD,-87.04,-86.41,-33.43,0.1,-4.15,-1.07
11.251,9.683,0.292,SynchrotronXRD,-64.38,-41.04,-33.35,-0.31,1.65,-1.84
11.251,9.683,0.357,SynchrotronXRD,-49.97,-37.89,-12.73,0.12,3.05,1.08
